variant,rung,k,lossMax,lossTarget,days,total,avgDaily,median,worst,best,daysUnder1k,daysUnder2k,daysUnder5k,negDays,winRate,maxDD,ddSpanDays,retDD,opens,coverFillRate,coverPending,worstHeldFloor,capExceeded,opensBlocked,offsets
v7-40,2.125,2.13,8500,5950,765,2725966,3563,-563,-8500,65524,375,345,227,397,48,-63868,19,42.7,27.28,36.8,8267,-8500,0,19853,2549
v7-40,1.875,1.88,7500,5250,765,2376993,3107,-645,-7500,59958,375,346,204,406,47,-55935,17,42.5,25.32,36.4,7644,-7500,0,21128,2434
v7-40,1.625,1.63,6500,4550,765,2271920,2970,-438,-6499,59306,365,330,145,400,48,-54033,23,42,23.06,36.5,6892,-6500,0,22483,2195
v7-40,1.375,1.38,5500,3850,765,1983364,2593,-338,-5500,57518,357,302,77,395,48,-41901,44,47.3,20.34,36.7,6068,-5500,0,24045,1881
v7-40,current,1,4000,2800,765,1495626,1955,-365,-3996,49972,338,246,0,407,47,-36966,50,40.5,15.24,36.3,4526,-4000,0,26975,1397
v7-40,0.875,0.88,3500,2450,765,1361308,1779,-246,-3500,43109,326,213,0,396,48,-29731,23,45.8,13.79,36.9,4077,-3500,0,27746,1236
v8-40,current/generic,2.25,9000,5000,765,471171,616,481,-9000,26385,272,203,120,339,56,-66463,62,7.1,7.4,38.1,1193,-9000,0,2097,536
v8-40,2.125,2.13,8500,5950,765,439809,575,457,-8495,26385,282,208,127,337,56,-68281,65,6.4,7.02,39.2,1152,-8495,0,2331,325
v8-40,1.875,1.88,7500,5250,765,478837,626,472,-7145,26385,276,208,125,337,56,-55014,62,8.7,6.87,39.1,1114,-7465,0,2766,389
v8-40,1.625,1.63,6500,4550,765,428544,560,231,-6490,19222,300,229,40,363,52,-53155,35,8.1,6.24,38.6,1028,-6500,0,3327,348
v8-40,1.375,1.38,5500,3850,765,369034,482,131,-5012,19222,313,241,1,372,51,-42754,38,8.6,5.84,38.9,943,-5485,0,3640,393
v8-40,0.875,0.88,3500,2450,765,391594,512,-836,-3485,17388,376,239,0,432,43,-29461,44,13.3,4.26,41.3,776,-3495,0,7812,52
v9-40,current/generic,2.25,9000,5000,765,3183632,4162,627,-8996,69091,342,319,215,368,52,-68154,19,46.7,29.65,39,8649,-9000,0,18307,2982
v9-40,2.125,2.13,8500,5950,765,3143409,4109,60,-8499,70951,354,322,202,381,50,-63191,19,49.7,28.58,39.1,8325,-8500,0,18887,2622
v9-40,1.875,1.88,7500,5250,765,2786686,3643,-41,-7500,63989,352,309,177,384,50,-46028,14,60.5,26.57,39.1,7681,-7500,0,20113,2509
v9-40,1.625,1.63,6500,4550,765,2535133,3314,136,-6493,54514,337,304,134,379,50,-41403,14,61.2,24.25,38.8,7004,-6500,0,21553,2255
v9-40,1.375,1.38,5500,3850,765,2155902,2818,-119,-5500,51016,348,295,72,386,49,-39455,44,54.6,21.31,38.8,6106,-5500,0,23272,1902
v9-40,0.875,0.88,3500,2450,765,1581770,2068,189,-3500,40456,300,186,0,369,52,-23292,16,67.9,14.68,39.5,4080,-3500,0,27053,1279
v0-40-cATM,current/generic,2.25,9000,5000,765,1436143,1877,1018,-8978,32887,252,202,64,328,57,-32618,13,44,22.24,33.7,5870,-8998,0,441,935
v0-40-cATM,2.125,2.13,8500,5950,765,1421216,1858,920,-8488,32887,253,201,59,329,57,-34625,11,41,21.76,34.2,5814,-8490,0,552,606
v0-40-cATM,1.875,1.88,7500,5250,765,1422468,1859,993,-7498,32887,250,195,54,330,57,-32854,11,43.3,21.38,33.9,5654,-7500,0,870,696
v0-40-cATM,1.625,1.63,6500,4550,765,1360842,1779,729,-6498,30905,259,194,45,336,56,-31702,10,42.9,20.76,33.6,5385,-6501,0,1360,776
v0-40-cATM,1.375,1.38,5500,3850,765,1373425,1795,926,-5500,25123,260,185,18,320,58,-34878,19,39.4,19.47,33.3,4961,-6255,0,2214,834
v0-40-cATM,0.875,0.88,3500,2450,765,971657,1270,308,-3496,31947,272,159,0,356,53,-21101,19,46,13.56,31.7,3441,-4392,0,5590,628
v1-40-cATM,current/generic,2.25,9000,5000,765,1717448,2245,1824,-9000,31567,247,206,80,297,61,-34599,11,49.6,17.88,34.6,6226,-9000,0,1126,1125
v1-40-cATM,2.125,2.13,8500,5950,765,1675038,2190,1824,-8495,31567,242,208,83,299,61,-34942,11,47.9,17.38,35,6134,-8500,0,1303,781
v1-40-cATM,1.875,1.88,7500,5250,765,1673168,2187,1449,-7490,30478,248,197,66,304,60,-30415,11,55,16.65,35.1,5854,-7500,0,1787,847
v1-40-cATM,1.625,1.63,6500,4550,765,1520209,1987,1075,-6464,30478,258,191,56,328,57,-34235,12,44.4,15.68,35,5485,-6500,0,2449,865
v1-40-cATM,1.375,1.38,5500,3850,765,1382702,1807,1114,-5500,24145,263,210,32,332,56,-23804,14,58.1,13.99,34.8,4914,-5500,0,3558,847
v1-40-cATM,0.875,0.88,3500,2450,765,916688,1198,107,-3500,30860,281,163,0,372,51,-22161,21,41.4,9.22,34.2,3321,-3500,0,6631,502
v2-40-cATM,current/generic,2.25,9000,5000,765,1424709,1862,1042,-8958,34840,260,207,59,327,57,-35918,15,39.7,22.35,33,5964,-8998,0,454,1001
v2-40-cATM,2.125,2.13,8500,5950,765,1369417,1790,984,-8488,34683,265,199,55,331,57,-38899,20,35.2,21.83,33.4,5911,-8496,0,572,648
v2-40-cATM,1.875,1.88,7500,5250,765,1399822,1830,1018,-7490,34810,264,197,53,331,57,-38219,15,36.6,21.47,33.2,5743,-7500,0,869,743
v2-40-cATM,1.625,1.63,6500,4550,765,1336066,1746,970,-6498,32702,266,197,40,337,56,-37698,14,35.4,20.78,33,5470,-6501,0,1376,788
v2-40-cATM,1.375,1.38,5500,3850,765,1306104,1707,831,-5500,20222,259,186,24,324,58,-29590,19,44.1,19.53,32.4,5036,-6255,0,2260,868
v2-40-cATM,0.875,0.88,3500,2450,765,973633,1273,308,-3496,33743,266,158,0,353,54,-20562,19,47.4,13.68,30.6,3507,-4392,0,5613,645
v3-40-cATM,current/generic,2.25,9000,5000,765,1718926,2247,1770,-9000,30135,248,203,80,297,61,-33562,11,51.2,17.88,35.1,5904,-9000,0,1114,1091
v3-40-cATM,2.125,2.13,8500,5950,765,1686778,2205,1766,-8495,29800,246,203,87,299,61,-33546,11,50.3,17.33,35.5,5804,-8500,0,1307,756
