,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
  losing-streak END date,8/20/2025,4/3/2024,10/23/2024,10/28/2024,10/28/2024,10/23/2024,10/28/2024,4/3/2024,10/23/2024,10/28/2024,6/5/2023,4/2/2024,9/10/2025,7/21/2023,1/30/2024,9/10/2025,10/10/2024,1/27/2025,9/10/2025,4/28/2023,3/28/2024,3/22/2024,4/9/2024,5/15/2023,9/11/2023,8/19/2024,10/29/2024,3/22/2024,4/9/2024,5/15/2023,8/20/2025,4/3/2024,4/2/2024,10/28/2024,10/31/2024,9/29/2023,10/28/2024,10/31/2024,9/29/2023,1/16/2023,10/31/2024,9/29/2023,9/10/2025,4/28/2023,1/30/2024,9/10/2025,9/10/2025,1/29/2024,9/10/2025,4/28/2023,4/5/2024,6/6/2023,4/5/2024,4/5/2024,9/10/2025,10/10/2024,1/29/2024,7/24/2025,4/5/2024,4/5/2024,7/6/2023,11/27/2023,10/28/2024,11/24/2023,12/1/2023,11/24/2023,12/1/2023,11/24/2023,7/21/2023,7/21/2023,11/29/2023,4/20/2023,11/29/2023,11/27/2023,7/12/2023,2/8/2024,7/25/2023,8/16/2024,7/12/2023,2/8/2024
MAX WINNING STREAK (days),25,18,10,17,12,10,15,10,13,14,17,13,13,11,6,26,22,16,26,14,15,17,9,11,15,11,12,17,9,11,25,17,15,17,12,12,17,14,12,15,14,12,22,16,10,26,22,10,26,13,10,23,16,8,18,16,10,23,16,8,23,8,15,9,15,12,14,13,9,7,20,22,18,22,11,9,11,9,11,9
  winning-streak $,56905,58344,54932,28295,36592,54109,30475,44345,77662,21375,69705,70555,55375,82209,78479,86505,163665,195177,133825,105683,237232,109311,105312,190911,32860,25416,42207,106396,101057,193709,56905,58900,106135,35660,33830,65185,34035,30660,52830,30040,29525,58035,82140,87055,119225,86505,163860,141275,134425,88000,201195,130690,258840,263290,62315,95505,183950,126745,255130,250620,78910,38441,71185,54052,63451,94541,54952,124563,82411,50263,143375,235746,190384,291159,186590,252172,47425,63999,184670,252735
WORST single day $,-4455,-6940,-8135,-3865,-6665,-8813,-3870,-6665,-8983,-3920,-6665,-8978,-5995,-7000,-9000,-5205,-7000,-9000,-5965,-7000,-9000,-5990,-7000,-9000,-5870,-6985,-9000,-6000,-7000,-9000,-4455,-8750,-17400,-3845,-8155,-16855,-3955,-7755,-16985,-3955,-8070,-16985,-9680,-18715,-37315,-5205,-13035,-28085,-7485,-17325,-31085,-11120,-36755,-87160,-7695,-16565,-31085,-11120,-36755,-87685,-6805,-9000,-6780,-9000,-6780,-9000,-6780,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-6995,-9000,-7000,-9000
  worst day DATE,10/31/2023,1/23/2024,1/2/2025,1/2/2025,10/31/2023,1/23/2024,4/14/2023,10/31/2023,9/20/2023,2/3/2023,10/31/2023,9/20/2023,4/27/2023,5/17/2023,6/12/2023,9/4/2025,1/29/2024,12/10/2024,9/4/2025,6/12/2023,6/12/2023,5/2/2023,12/10/2024,7/24/2023,3/2/2023,11/14/2024,12/12/2023,5/22/2024,12/10/2024,7/24/2023,10/31/2023,7/24/2023,2/24/2023,1/2/2025,1/2/2025,12/22/2023,12/14/2023,12/22/2023,6/11/2025,12/14/2023,1/2/2025,6/11/2025,3/31/2023,3/31/2023,3/31/2023,9/4/2025,8/8/2023,5/22/2024,8/8/2023,2/20/2025,8/8/2023,10/17/2023,12/13/2024,5/22/2024,9/4/2025,2/20/2025,8/8/2023,10/17/2023,12/13/2024,5/22/2024,5/22/2023,5/22/2023,8/15/2025,5/22/2023,8/15/2025,5/22/2023,8/15/2025,5/22/2023,8/24/2023,4/25/2023,9/11/2023,9/11/2023,3/6/2023,6/12/2023,9/11/2023,5/15/2023,9/4/2025,3/27/2023,9/11/2023,5/15/2023
BEST single day $,7835,12810,25366,8345,12410,25160,7455,13185,22790,10535,15753,30319,11278,25253,53128,10855,27607,45720,18510,35557,69435,17657,41585,68190,11185,15670,22753,17657,41180,66320,7835,12810,32645,8345,11885,31390,8760,17915,32945,7455,13400,30620,12220,28100,57115,10855,31735,66230,18510,35785,76530,17880,52730,113785,15175,34710,77480,17880,52730,115005,11243,26795,12285,24235,13355,24360,15026,25262,27715,50633,27252,44674,30515,73410,40188,81697,13645,25495,40188,81697
  best day DATE,2/28/2023,6/12/2024,8/28/2024,10/18/2024,8/15/2024,12/4/2025,10/18/2024,6/12/2024,7/26/2023,4/8/2025,4/21/2025,8/28/2024,1/29/2025,11/14/2023,3/18/2025,11/30/2023,6/12/2024,6/12/2024,9/17/2025,10/29/2025,1/29/2025,4/4/2023,3/28/2025,3/10/2025,1/29/2025,1/29/2025,3/18/2025,4/4/2023,3/28/2025,3/10/2025,2/28/2023,6/12/2024,5/7/2025,10/18/2024,3/7/2024,5/7/2025,10/23/2023,10/23/2023,10/23/2023,10/18/2024,10/23/2023,5/7/2025,1/29/2025,6/12/2024,6/12/2024,11/30/2023,6/12/2024,6/12/2024,9/17/2025,10/29/2025,1/29/2025,4/4/2023,10/14/2024,10/3/2023,1/29/2025,10/29/2025,1/29/2025,4/4/2023,10/14/2024,12/26/2023,1/5/2023,8/28/2024,10/23/2023,8/28/2024,10/23/2023,8/28/2024,7/15/2024,8/28/2024,6/12/2024,6/12/2024,6/12/2024,6/12/2024,6/12/2024,1/29/2025,11/24/2025,2/9/2023,4/4/2025,4/4/2025,11/24/2025,2/9/2023
opens/day,12.96,14.78,17.3,12.96,14.76,17.25,12.96,14.93,17.4,12.98,15.19,17.71,14.5,15.2,15.1,16.84,19.52,20.63,23,26.26,26.01,35.16,30.06,24.33,13.64,8.34,6.04,35.05,30.02,24.38,12.96,14.6,15.22,12.96,14.58,15.22,12.96,14.58,15.22,12.96,14.58,15.22,14.77,16.42,17.06,16.84,19.54,20.41,23.01,26.83,28.29,38.16,44.62,47.04,23.01,26.82,28.29,38.08,44.61,47.04,15.38,16.4,15.58,16.45,15.66,16.58,15.84,16.74,15.94,15.14,20.49,20.46,28.03,27.13,28.41,23.33,8.28,6.43,28.41,23.34
NEG days,179/765,222/765,298/765,221/765,239/765,292/765,241/765,258/765,288/765,268/765,261/765,297/765,244/765,320/765,408/765,181/765,239/765,332/765,197/765,275/765,351/765,211/765,309/765,388/765,230/765,292/765,316/765,217/765,314/765,391/765,179/765,220/765,292/765,222/765,275/765,322/765,247/765,288/765,330/765,264/765,300/765,336/765,238/765,282/765,336/765,182/765,230/765,306/765,195/765,259/765,318/765,191/765,275/765,324/765,206/765,264/765,324/765,197/765,272/765,323/765,266/765,295/765,275/765,297/765,284/765,307/765,297/765,311/765,342/765,392/765,266/765,308/765,262/765,308/765,390/765,437/765,307/765,320/765,389/765,438/765
WIN %,76%,71%,61%,71%,68%,62%,68%,66%,62%,65%,66%,61%,68%,58%,47%,76%,69%,56%,74%,64%,54%,72%,59%,49%,70%,62%,59%,72%,59%,49%,76%,71%,62%,71%,64%,58%,67%,62%,57%,65%,61%,56%,69%,63%,56%,76%,70%,60%,74%,66%,58%,75%,64%,58%,73%,65%,58%,74%,64%,58%,65%,61%,64%,61%,63%,60%,61%,59%,55%,49%,65%,60%,66%,60%,49%,43%,60%,58%,49%,43%
