,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
(context) true MAX DRAWDOWN $,-8295,-13984,-32552,-6975,-22343,-36402,-7585,-27400,-44987,-12415,-26655,-40240,-17232,-33929,-79803,-17235,-26259,-50196,-18355,-28933,-60776,-20324,-30485,-56081,-13920,-43232,-63676,-20649,-30800,-56081,-8295,-23280,-53425,-7665,-22560,-71310,-9340,-23305,-73950,-9910,-26940,-68660,-16250,-50900,-119860,-17235,-36450,-130335,-19460,-35760,-147380,-21395,-83595,-422585,-18920,-44910,-150310,-20905,-85900,-417155,-23676,-35245,-24317,-34773,-25816,-41148,-29355,-40780,-71937,-128025,-31899,-59534,-37620,-51426,-74286,-80756,-35627,-68935,-74581,-79101
maxDD 7-day $,-8295,-13984,-22180,-6960,-21268,-22579,-7585,-23605,-25997,-10295,-24336,-26823,-15605,-32646,-46907,-17235,-26259,-36657,-18355,-28933,-45641,-20324,-27980,-35976,-13920,-31950,-31183,-20649,-28962,-35976,-8295,-14520,-38500,-6785,-20405,-46130,-8255,-21895,-49620,-8895,-23660,-48770,-16250,-42040,-89365,-17235,-31455,-70715,-19460,-34490,-75880,-21395,-72370,-289845,-18920,-35860,-72270,-20905,-74075,-282235,-22140,-35245,-18427,-34773,-19618,-41148,-17904,-40780,-36937,-48229,-24712,-38128,-29519,-49155,-43016,-47063,-23240,-41898,-43016,-47063
maxDD 30-day $,-8295,-13984,-32552,-6975,-22343,-36402,-7585,-27400,-44987,-12415,-26655,-40240,-17232,-33929,-79803,-17235,-26259,-50196,-18355,-28933,-60776,-20324,-30485,-56081,-13920,-31950,-59351,-20649,-30800,-56081,-8295,-23280,-53425,-7665,-22560,-71310,-9340,-23305,-73950,-9910,-26940,-68660,-16250,-50900,-119860,-17235,-36450,-130335,-19460,-35760,-147380,-21395,-83595,-422585,-18920,-44910,-150310,-20905,-85900,-417155,-23676,-35245,-24317,-34773,-25816,-41148,-29355,-40780,-47209,-92513,-31899,-59534,-37620,-51426,-74286,-80756,-35627,-62825,-74581,-79101
ret / maxDD30,128.7,116.4,56.8,110.6,58.2,48.1,94.0,47.0,38.7,55.9,47.3,40.9,63.2,44.3,17.5,79.3,84.4,47.6,98.5,90.3,44.4,137.4,102.2,47.1,68.7,22.7,10.1,132.2,99.0,46.2,128.7,69.2,36.3,99.6,50.9,18.5,74.0,46.1,16.3,60.8,35.2,15.5,69.6,33.7,15.2,79.4,61.9,19.7,93.6,76.8,22.9,142.4,61.6,16.2,86.5,57.1,20.6,143.2,58.8,16.2,53.1,53.7,42.3,48.8,39.5,41.1,33.8,40.9,22.9,14.6,51.7,39.5,58.1,56.9,31.9,34.6,18.8,8.7,31.5,34.9
avg peak capital $,1481,3083,7144,2069,3440,6904,2205,3637,7265,2272,3749,7497,1585,3341,7136,1573,3405,7514,1731,3916,8131,2041,3239,7066,1457,2895,6102,1957,3229,7045,1481,3085,7266,2075,3562,6734,2224,3752,6971,2266,3804,7013,1593,3399,7572,1573,3405,7672,1731,3947,8474,2095,3574,9884,1500,3428,7947,2012,3562,9835,2806,5770,3483,5848,3559,6032,3610,6103,2914,5876,2909,5872,3006,5932,2918,5820,2796,5493,2919,5820
ret on capital (daily $/$),0.942,0.69,0.338,0.488,0.494,0.331,0.423,0.462,0.313,0.399,0.44,0.287,0.898,0.588,0.256,1.136,0.851,0.416,1.365,0.873,0.434,1.788,1.258,0.488,0.858,0.327,0.128,1.823,1.235,0.481,0.942,0.682,0.349,0.481,0.421,0.257,0.406,0.374,0.226,0.348,0.326,0.198,0.928,0.66,0.315,1.137,0.866,0.437,1.375,0.91,0.52,1.9,1.884,0.906,1.427,0.979,0.51,1.944,1.855,0.899,0.585,0.429,0.386,0.38,0.375,0.367,0.359,0.357,0.486,0.3,0.741,0.523,0.951,0.645,1.061,0.627,0.313,0.131,1.053,0.62
profitScore ($20-norm),2790,2128,1209,2018,1701,1144,1864,1682,1139,1814,1648,1075,2846,1963,914,3574,2897,1563,4726,3417,1764,7300,4074,1725,2500,948,392,7136,3988,1695,2790,2104,1268,1996,1500,865,1808,1405,786,1576,1240,696,2956,2245,1193,3578,2948,1676,4760,3592,2204,7962,6732,4480,4280,3355,2027,7824,6607,4423,1642,1237,1346,1110,1334,1106,1296,1091,1415,881,2156,1536,2858,1913,3097,1826,876,359,3075,1805
riskScore ($20-norm),-16590,-13984,-16276,-13950,-22343,-18201,-15170,-27400,-22493,-24830,-26655,-20120,-34464,-33929,-39901,-34470,-26259,-25098,-36710,-28933,-30388,-40648,-30485,-28040,-27840,-31950,-29675,-41298,-30800,-28040,-16590,-23280,-26712,-15330,-22560,-35655,-18680,-23305,-36975,-19820,-26940,-34330,-32500,-50900,-59930,-34470,-36450,-65167,-38920,-35760,-73690,-42790,-83595,-211292,-37840,-44910,-75155,-41810,-85900,-208577,-23676,-17622,-24317,-17386,-25816,-20574,-29355,-20390,-47209,-46256,-31899,-29767,-37620,-25713,-74286,-40378,-35627,-31412,-74581,-39550
GOV lossMax $,-6000,-7000,-9000,-6000,-7000,-9000,-6000,-7000,-9000,-6000,-7000,-9000,-6000,-7000,-9000,-6000,-7000,-9000,-6000,-7000,-9000,-6000,-7000,-9000,-6000,-7000,-9000,-6000,-7000,-9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000
GOV worst floor HELD $,-4730,-6990,-9000,-4815,-6980,-9000,-4815,-6970,-8995,-5463,-7000,-8995,-5995,-7000,-9000,-5980,-7000,-9000,-5995,-7000,-9000,-6000,-7000,-9000,-5995,-6990,-9000,-6000,-7000,-9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-6995,-9000,-7000,-9000
GOV days over cap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
