,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
8/28/2023,465,4556,5503,-955,1505,3179,-995,3537,5508,-225,3550,3014,1605,5218,4712,1980,4010,4189,990,3099,-8221,650,-3409,780,2280,4136,2236,-1215,1617,-7469,465,3846,4472,-955,1505,1110,-995,3537,2204,1040,4410,5350,1605,4413,8477,1980,4010,1205,2084,3845,-3268,1322,-2171,-28326,1895,3845,-3268,-1215,-4320,-28211,4872,8155,2917,4874,6147,7000,3511,4874,3890,4987,5158,8135,2775,5268,-3798,-449,6076,4417,-3798,396
8/29/2023,501,3251,2525,877,-1965,5545,1211,2037,2870,645,-825,3643,2730,-1725,-1910,3115,6315,8216,1775,-1556,4360,1955,7330,5289,2421,-1070,-1719,4463,10305,14425,520,3820,2723,877,-1965,5545,1320,2057,4015,755,1310,1684,2730,700,-897,3145,6315,10471,1932,975,15420,1900,5585,70923,2800,80,14736,4463,5155,72328,-213,6919,-820,5008,-683,6459,-530,5517,-5221,-6358,1904,9246,2419,13170,5286,20934,-1324,-415,4536,22954
8/30/2023,5075,1525,-6326,1440,453,-3473,2872,-2169,-6326,805,1545,-3473,2351,5412,16441,2698,18045,14273,4784,4373,15730,3880,4611,2606,1737,4776,1771,4252,4053,-566,5075,861,-4888,1440,453,-4422,1440,-3190,-4858,2570,-1371,-3442,2351,5530,27233,2698,18045,15603,4953,3119,18616,3880,2871,-8029,1737,2984,19109,4252,3728,-5166,-4657,-2114,-4021,-2270,-4955,-2114,-4021,-2270,7161,17005,5146,5677,2065,7330,899,-2374,1634,2414,899,-2899
8/31/2023,1770,3153,101,2150,1101,-265,3780,4170,1918,850,366,372,1073,9029,4426,1990,4734,-59,10952,4098,-557,-275,-3144,799,2692,5795,2655,1655,-1770,-5329,1770,1235,1557,2150,1101,-3029,2295,1705,-2268,1810,-698,-4858,1073,8166,21726,1990,5111,6110,10833,6395,12836,1997,115,-44238,1768,6035,-2674,1655,342,-48201,1876,1115,-982,401,1825,1115,-732,401,9534,12210,2559,2144,5189,2303,-1068,-5065,2898,3864,-1068,-2604
9/1/2023,-185,2322,-44,350,4505,1663,1776,4593,7761,40,1915,263,323,-686,-6010,687,1687,-4364,2467,4440,5015,1430,11140,-1155,5427,308,-5359,4688,6948,-4888,-185,1705,-44,350,4505,2246,2112,4855,5194,-610,1185,-1480,415,-514,-3602,687,1687,-12598,897,4020,8920,3581,13784,-24656,6274,3825,-1790,4688,13759,-26275,4489,4977,7655,6903,6341,7417,5780,6522,-292,-5143,1258,-5220,1825,-4729,-2460,-6905,-1003,-5359,-2460,-5273
9/4/2023,130,1356,2288,2055,2300,2288,2055,3110,2288,620,1570,2288,2375,2546,4618,2770,3841,8028,4491,5185,9250,2060,5456,2938,1365,226,2278,4245,5456,7797,130,1640,2770,2055,2300,2770,2055,3110,2770,655,1595,2770,2375,2546,4516,2770,3841,7931,4592,5279,9250,2502,14173,32804,2365,5279,9738,4245,14173,32804,-981,-3289,-110,-1330,-981,-3289,-110,-1330,1415,3386,-411,4176,745,2685,3245,7360,827,4910,3245,7360
9/5/2023,3808,2848,-3982,-240,359,-6076,2127,3175,-3917,450,-716,-6404,1421,5177,4292,3445,5711,10576,6494,6496,11674,3090,323,-1504,4590,2647,-491,5074,3817,-6235,2245,-51,-3955,-240,359,-8612,400,1094,-7242,1170,-2640,-7026,1421,5597,5638,3655,5711,10730,6664,7121,13522,3800,5742,-9458,4590,5650,9227,5074,5165,-14261,-316,-4814,-1789,-4871,-320,-4451,-2690,-5511,6120,4605,6416,7025,7717,5780,-1014,-2648,3469,595,-1014,-2809
9/6/2023,248,1525,1862,1375,776,426,2805,760,1715,-565,1164,721,170,-5200,-7325,1133,-3142,-3274,-819,-1090,-56,-995,-3581,-3070,-717,228,-3865,2049,-1488,-8684,248,1208,2162,1375,776,-758,1293,311,2905,318,-498,1873,170,-5945,-11295,1133,-2740,-66,-487,1735,4426,1044,-670,17061,-590,1492,4717,2049,135,18269,1073,5625,-585,5527,-779,5625,-1465,5527,-3260,-6570,-3365,-6525,-5053,-4948,-4672,-6309,-1555,-4975,-4672,-6309
9/7/2023,-385,-1195,3752,-165,-5,7325,-410,-1260,3752,1285,-105,7325,2490,4054,2616,3015,9984,11376,-689,5345,10345,1540,14766,6248,2256,-1313,-1461,740,7369,-1400,-385,-185,4315,-165,-5,7571,-165,1,6199,-375,-125,5834,2775,5556,-414,3015,9984,8692,-999,7528,3610,1420,14073,23159,2256,7939,1323,740,15257,23918,2628,5611,2875,7391,3033,5611,2875,7391,-770,-5688,13715,8651,6389,3549,-3665,-5350,-3535,-3762,-3665,-5350
9/8/2023,403,-3429,-3903,360,-2680,-2720,447,-4404,-2729,605,-1381,-2630,-770,-434,-8660,455,2110,-6620,-2381,-1995,-5069,1540,-5136,-2356,-270,-1911,-5385,150,5142,-7183,700,-3300,-3903,360,-2680,-2720,885,-4760,-2580,280,-3705,-4615,-770,136,-11129,455,2110,-16960,-2381,-1675,-18871,881,-1040,-65780,-270,-3130,-18871,150,800,-65780,-330,3039,-75,-2650,-1571,3039,-150,-2650,-1961,-7234,1538,-2605,-4383,-5247,-3040,-8986,1526,-8975,-2316,-8360
9/11/2023,190,2841,-1147,-1640,4954,-1194,-1640,971,-1147,-235,5569,-1194,-1375,-5783,-8980,-1685,-6415,-8991,-4510,-1078,-8996,-740,-6992,-3990,-790,-6550,-2234,-1780,-6953,-8987,190,3900,-1686,-1640,5387,-1343,-1640,1963,-293,-15,5316,517,-1375,-4393,-15230,-1685,-4720,-19055,-3780,-2708,-17928,-919,-11008,-28314,-705,-3358,-17928,-1780,-9262,-26314,1739,-3285,4413,-4747,1639,-2393,4413,-4747,-6765,-8975,-6725,-9000,-6952,-8996,-6975,-8990,-2666,-8870,-6975,-8990
9/12/2023,1015,-1062,-4632,860,517,-6356,378,-912,-4632,-220,252,-6356,1115,-4165,-8928,1045,-539,-1593,847,-1788,-3830,1363,5050,2668,1220,-1874,-2087,1858,9479,15353,1015,-1135,-5460,860,517,-5695,960,-820,-5805,1650,-417,-7480,1115,-3587,-5835,1195,-539,710,1818,-1188,-537,837,2960,32658,1220,-1733,640,1858,5392,35992,-2950,245,-1795,749,-3110,245,-1795,749,-3093,-8069,2439,2520,-226,13200,5089,15225,-594,-284,5424,15722
9/13/2023,4149,620,8791,-100,2010,7709,2843,1176,5546,1135,1410,7709,3690,3770,14928,2575,4592,5843,1283,6516,15744,2800,8704,-1985,4472,10930,4782,3098,12169,-3714,2670,550,3812,-100,2010,4420,1510,864,5240,1265,1760,3733,3175,4390,21668,2060,4592,6479,1182,7582,18059,3049,3820,-38617,4472,7648,19677,3098,2403,-38617,3060,6896,2947,12004,3159,6750,2022,12004,519,20273,3441,5639,4801,11325,-1661,-8634,1681,1372,-1661,-6661
9/14/2023,3317,4871,3904,4570,5293,-2948,5146,6012,5515,2960,4324,-2948,1705,6753,6531,2167,7801,4927,2965,-1470,8020,-970,3379,-2448,3529,-952,1702,10263,5219,-7073,3445,3848,6613,4570,5293,-2582,4615,5613,5109,3182,4288,3273,1705,6753,9887,2167,7801,4994,3755,7357,11608,8208,15682,-3136,4075,7357,12694,10263,16200,-2161,2339,-4263,2633,-4379,2158,-4263,1843,-4379,5346,4284,7364,2551,8463,16641,-1718,-6931,-93,-1475,-1718,-5840
9/15/2023,1060,-1959,-4975,-290,-515,-3316,-1261,-178,-3294,290,-1730,-3101,1117,4086,-7990,2470,3285,-3130,5085,1622,-6727,7080,2064,-2421,2994,259,422,9524,2064,4929,1060,-1848,-5839,-290,-515,-2836,-1165,-1222,-3281,315,-1313,-4688,1285,5450,-10830,3030,3285,-3021,4530,12872,-11019,7043,10842,716,3055,12272,-10221,9524,12956,-782,-3721,-2203,-2375,106,-3721,-2203,-2290,-454,-1163,-4439,-2875,15957,-1293,10029,-2564,-5483,993,-6445,-2564,10823
9/18/2023,115,-378,6610,-436,93,11213,-1236,130,6309,325,-598,11213,3820,2063,6127,2975,-5135,1715,1203,1990,1011,3544,-6985,-3780,2731,3261,2686,-872,-6662,-8691,115,-378,10959,-436,93,11462,-1236,576,9387,259,-854,11495,3820,2063,16477,2975,-5135,3920,1203,-2668,2473,5149,-14790,-47108,2731,-2668,3819,-872,-14790,-47108,3955,14304,2975,7488,4918,14304,2020,10404,3147,8724,-5476,-4705,-4098,-1374,-6921,-7950,6894,6289,-6921,-7950
9/19/2023,360,236,-2040,-50,1587,-1286,23,312,-1023,-55,260,1170,2280,-917,-3987,1707,3587,1372,1056,-947,-2131,1802,3498,-2376,4660,788,2140,1975,13030,-6225,360,480,-2035,-50,1587,-3139,375,431,-4147,110,-120,-2797,2280,1597,-1374,1707,3587,6915,770,5939,-6440,1139,14388,-20672,4660,5749,-7763,1975,15276,-30365,75,-849,505,-3930,1997,-3738,-495,-3920,509,-1400,6134,-5534,5950,-6866,-4835,-8982,3684,1448,-4835,-8012
9/20/2023,2183,-1711,-8998,560,-1226,-8902,174,-2474,-8891,2550,556,-8902,40,17658,-8051,1560,3554,33089,1769,-1845,30383,7630,11175,22464,1110,4496,-7010,9160,4841,13564,2515,-1539,5303,560,-1226,-8547,495,-2070,8735,2590,629,6498,40,16463,2838,1560,3554,31310,2115,4455,28455,6866,11167,44962,1110,4235,30975,9160,12870,43192,-3171,-3910,-3495,-4784,-3470,-4187,-3290,-4784,16515,-8990,1285,7740,18707,8913,12859,35016,1075,-8850,6185,22390
9/21/2023,149,1150,-3776,917,321,-4194,1126,999,-3621,535,1295,-4464,670,2135,-1595,766,-77,802,3172,1351,-6698,2651,1848,8652,591,795,3522,4871,-1450,14864,335,1765,-4023,917,321,-287,1305,958,-3122,650,1495,-2640,670,1018,522,741,-77,4486,3146,1947,-2015,2956,4419,17284,681,1095,-2518,4871,5173,18980,-1390,-5879,-500,-2701,-1390,-5879,-500,-2701,1338,-2673,-3550,2122,-1153,-2466,1171,24595,-106,505,1166,20330
9/22/2023,1130,5065,1774,2040,491,2120,6122,2600,434,1400,3706,1957,1380,3869,309,2230,1760,3190,2191,6282,-5087,-995,-6165,1341,1435,-802,3110,4600,2981,-4993,1130,4047,-3510,2040,491,2120,2029,2868,-1930,1296,4817,-250,1380,3570,10605,2840,1760,3820,2241,4290,4167,2281,9745,-7302,1445,1345,5160,4600,9485,-6388,1510,2842,1964,3410,2835,-1730,2059,3570,4162,10482,6901,3197,2598,-768,-4565,-1874,4423,10842,-4565,-2339
9/25/2023,1160,2389,1531,1580,720,-2203,1127,1887,2184,1345,2068,-544,-5,2421,5446,755,542,-2653,4719,-1092,3852,340,2275,-965,721,-617,9179,2190,2557,-744,1160,2965,1795,1580,720,-3625,1690,469,1050,1425,2754,1060,-5,2421,4199,755,542,7124,4888,2602,14365,2623,-131,20692,606,2557,11921,2190,2615,23657,3696,5347,3546,5739,2038,3581,3215,4259,228,4029,3062,-552,745,2016,3467,3140,1365,4700,2501,4174
9/26/2023,-1734,-4629,-7999,-1285,-628,-7890,-63,-2935,-7694,-570,-830,-7925,2344,2689,-1930,3820,7298,-2264,-318,4201,-4630,2693,-7,3260,1055,-1397,-2879,4253,-25,27401,-1555,-1810,-7684,-1285,-1410,-10290,495,-2045,-5385,-2230,-2860,-12365,2550,3731,-1418,3820,7298,2501,1572,11191,2956,1639,21671,33784,1155,10731,5751,4253,22832,39438,-5579,-299,-5001,-6835,-2304,-299,-5001,-6835,4722,-1303,4398,688,6385,9769,18264,5571,-1886,-4744,19599,3020
9/27/2023,541,5842,11880,1460,2742,9843,3027,4366,11680,660,3352,8302,2975,7538,15946,3125,6499,14871,6124,4476,20712,3105,15030,-1782,4254,2410,7446,1670,16022,9537,695,4347,9287,1460,2742,7248,1370,2112,2919,905,3472,1063,2975,8071,18261,3125,6499,17027,6651,8377,19217,2980,4334,27318,4825,8246,17958,1670,7940,27585,2529,4241,1930,4865,1890,4241,2503,4865,7859,15650,2899,13843,6200,15670,10934,13728,2612,7741,11728,16462
9/28/2023,790,-3413,-7309,-1240,-4420,-7778,-589,-2709,-8988,688,-2940,-7647,990,6815,-5021,1830,5429,4300,1629,1002,-4519,-540,2515,-2609,1496,-1635,-847,1280,-2095,-8342,790,-2110,-14028,-1240,-4420,-11921,-1260,-5657,-10242,70,-7535,-11810,1910,4876,5764,2630,5429,6717,2036,5340,1312,1887,3956,-10908,2540,5255,1523,1280,4200,-4311,162,-5389,1124,-6195,-2866,-6336,1186,-6952,6403,1380,6680,-2491,7941,-2409,2634,-8221,-2204,-291,4804,-7226
9/29/2023,410,855,27,90,-105,-581,392,564,-1599,105,1259,-1131,1400,1720,-8946,956,4893,-8910,-114,-1985,-8975,-665,-1611,-907,880,3153,-1805,6164,7540,-6973,410,275,132,90,-105,-385,673,862,-1455,-15,765,-2290,1255,1720,-3425,1996,5646,-2885,-270,200,-13413,5411,3372,-21455,4705,615,-8335,6164,4186,-21352,3048,-964,4575,1769,4173,-964,3710,832,-4125,-7895,-3861,-5934,-3621,-8986,-5245,-6637,-1223,957,-5305,-5282
10/2/2023,630,3407,5453,1023,3597,8646,1527,2050,9258,460,3273,5056,348,4415,-2630,1831,2398,7223,3946,449,5937,125,-3658,30,1389,2835,4160,-784,-2109,-1829,630,3776,5453,1023,3597,9606,1420,2530,9946,2913,3711,6284,348,4415,2583,1831,2398,-46,2148,5495,3191,-945,-3595,-288,769,5757,5403,-784,-3678,-110,2477,8119,1412,6895,2451,10720,1091,5002,4340,1516,1392,7678,5018,-1212,379,-1049,500,5095,379,1496
10/3/2023,1417,1051,-1197,652,725,2140,652,3732,-2389,2007,930,1768,-665,-1536,-7871,1080,1330,8912,-182,-1857,-2407,-555,6531,-2658,-35,-2407,-6992,7317,8041,18615,1417,2305,127,652,725,3905,1637,5105,3703,-975,-1300,2390,-665,-2092,-4138,1080,1330,11014,460,3845,9060,5949,9708,78072,-35,3520,10063,7317,11248,81287,5640,5723,6992,-626,5068,5752,8256,1594,-5061,-2862,989,9379,6261,12788,7490,-553,-266,-6634,7490,6582
10/4/2023,-346,1447,-3210,-835,531,-531,-1703,-154,-2572,645,-48,393,110,2372,-1367,555,1494,6822,3576,2588,4484,761,3391,4960,515,2277,-613,2245,-63,6646,630,1800,-4437,-835,531,-283,-890,880,-1777,-890,-1190,2323,275,3546,1641,425,1494,6240,3904,6405,2041,698,2812,22196,680,7014,2230,2245,4386,24971,482,-1071,2027,-1737,476,-1918,760,-350,1291,1651,508,10584,2627,1453,3811,12494,-1424,3215,3516,10280
10/5/2023,1280,22,1093,1586,1513,2937,1678,1537,2279,170,-490,3244,1734,-2093,-6201,955,1120,-8324,1319,755,-5039,885,-3041,-2391,2322,2923,834,-2130,-2155,-7154,1280,-320,1093,1586,1513,2937,1865,2032,1344,935,351,-901,1965,751,-3863,955,1120,-12375,-374,2427,-4223,3875,-4401,-49268,2610,6287,-6772,-2130,-5290,-49572,177,6147,1905,5663,2980,4812,445,6392,1978,-1668,-1881,-800,170,-4940,-6011,-7174,2450,1893,-6011,-8414
10/6/2023,1810,1406,1566,2698,1109,6308,2527,2238,1461,2035,2401,4028,350,-6940,-5190,-745,-4317,-8645,-744,-615,-7300,2848,4397,-2320,-347,-6940,-5190,4582,7881,1772,1810,3803,1402,2698,1109,7000,2890,4165,2537,2833,2038,8315,350,-6870,-13525,-745,-1990,-4515,340,-3500,-3749,3178,4490,36555,1090,-4090,-3590,4582,5101,40122,1458,4156,2121,7678,4373,3046,2080,5745,-6750,-7490,-3990,-8940,-6941,-8619,4966,-490,-6750,-7490,5636,-490
10/9/2023,-1052,1199,-2058,310,2165,-255,-856,-1614,-4710,-680,4393,-255,3205,1893,-3059,1150,2264,1250,3246,-1313,-1560,1355,3962,8021,2340,3449,-280,3410,2650,8121,-535,2795,1184,310,2165,1539,-320,-10,-655,-1075,-210,-2580,3205,5893,641,2925,2264,2260,3232,7579,857,1069,15932,22076,2340,5333,2125,3410,16557,22076,885,-740,4495,-1294,899,-536,3126,-1294,-704,-6088,-1534,711,498,-2414,1696,11578,-411,-1222,1105,5401
10/10/2023,1355,4946,1295,922,2281,3274,2228,7239,2456,1286,2116,1306,1355,758,382,1690,592,2691,3072,2906,3613,2215,-5939,-2624,2125,2543,7975,-395,-5027,-6816,1355,3202,1295,922,2281,-198,2664,4854,1808,2946,4324,3737,1700,758,2475,1690,592,3023,2909,-56,4158,-741,-5151,-16515,2125,536,2405,-395,-7822,-26258,4752,1161,2152,-4056,5534,-130,4642,-3446,3616,1718,1956,4134,3246,3591,-5610,-3317,1016,8475,-5610,-3317
10/11/2023,515,32,3261,1023,-272,1316,-288,1658,743,1230,1699,1451,2270,78,-2672,2383,-280,-3995,906,2703,-3487,1122,13651,-1662,1974,2170,2925,451,4381,-6818,515,-140,3438,1023,-272,1735,385,564,1678,-535,-1012,3374,285,353,-2162,938,-280,-980,906,-277,-8080,-136,-167,-20853,1687,-497,-8710,451,3870,-31738,1416,1898,1470,7097,2192,1898,1115,7097,-1350,-2230,1161,-193,1937,-3416,4689,3502,3388,2612,4684,4389
10/12/2023,1025,5132,-2188,1315,4862,-2010,1013,5724,-2741,1130,3618,-3012,1310,7895,3265,645,1900,-3485,4035,3292,-7327,-810,-4710,-3015,530,3930,6980,-2186,-6890,-2515,1025,4958,3407,1315,4862,6223,1760,5033,4673,1390,4633,988,2060,7895,6388,645,1900,-2745,4035,1950,-5233,996,-11067,-39617,1695,1395,-6600,-2186,-10810,-35695,3929,2227,5523,7253,3490,338,4434,7566,6710,5543,460,-4524,1426,-5052,-5616,-8382,4365,5788,-5616,-7347
10/13/2023,823,-239,-1897,1865,-162,-1978,186,-507,-2051,-430,1542,-1978,3688,2353,3671,1005,460,639,1531,-1565,-589,5398,9567,-2615,1351,-614,-2267,6860,8311,-7505,1095,-313,-1548,1865,-162,-1780,1795,1147,-1266,380,-383,-725,2060,2848,6238,1005,525,6735,1645,3586,13208,6088,11624,37229,930,2655,9360,6860,13379,39494,1550,-7900,1691,-7708,1550,-7900,1686,-7708,5744,6598,5373,7623,10193,2683,16803,-7531,-1169,-6834,16803,2143
10/16/2023,-515,4948,7905,4043,1575,531,2855,6166,8700,654,4027,2166,1155,8118,6733,1377,13254,11529,3532,9176,15897,1800,25874,1449,1440,4158,-2604,3307,30748,5167,-515,6334,7905,4043,1575,531,3038,6561,8700,159,4048,5749,1155,7812,10857,1537,13254,13949,4272,15846,15074,1800,33004,42438,1605,14864,15594,3307,34823,44331,-3160,3253,-3465,-2907,-2322,3253,-3890,-2907,9098,7341,7553,8578,11948,6899,11893,783,-1256,-2375,11893,16003
10/17/2023,1155,3119,3820,111,-64,6629,890,3109,6598,1175,740,6629,315,4419,6879,-157,-4109,-6289,-144,-1780,-3105,-735,-6679,-3765,-588,3450,3609,-3465,-3393,-8425,1155,1705,3005,111,-64,4506,1196,1453,4726,1077,770,558,315,2499,7016,-157,-5125,-12755,-1453,-3368,-15355,-1593,-17783,-71845,-892,-3368,-16862,-3190,-22150,-76865,2461,4789,2342,1688,3087,5193,1202,1688,4346,6027,-3028,-4370,-1053,-8144,-6895,-8760,-1601,674,-6895,-8760
10/18/2023,2495,1854,6984,3166,1554,6869,2148,1640,9079,3240,3775,6899,1010,2354,1507,1451,-322,-595,1210,3367,493,1995,1944,41921,1015,910,2418,2685,9807,39838,2495,3205,6984,3166,1554,6869,2421,1735,9737,3623,5509,7282,1735,814,2272,1717,-322,-2005,1210,7303,13751,1995,13187,50842,1690,7036,11239,2685,13584,50123,1500,3398,1750,9632,1780,4589,4450,9652,3087,137,7198,-1787,5484,2348,16705,50399,-1090,3630,1825,44372
10/19/2023,2160,5779,6599,4363,4036,11950,3087,4542,4073,1525,2744,14174,1010,3680,3462,2905,7018,9121,5849,3742,11497,2660,15764,42967,2465,3538,4935,3970,3399,20861,2160,6503,5274,4363,4036,11950,3386,4968,4564,2620,5618,3308,2355,3645,6395,2905,7018,13351,6352,10276,15772,3357,23255,54814,2795,9256,18164,3970,23524,55122,3252,4555,3240,7551,1937,4651,4363,6555,6739,2240,6410,22306,8600,16058,20375,43245,8635,17585,10776,37943
10/20/2023,2425,-1174,6938,3204,585,10206,2678,-1787,7138,2260,1280,9710,1185,3165,1992,2189,-1721,10553,4867,-1695,3371,5550,8280,-3890,-659,2736,-165,6886,6179,22963,2425,-485,6950,3204,585,12140,3399,456,5739,2100,55,7108,1070,3497,-92,2189,-1072,14263,5362,3722,10498,5163,9862,62788,530,4807,8342,6886,9876,62779,5371,8391,6640,12084,4237,8215,6505,13239,1704,-3332,2413,13246,2223,7963,13665,19281,239,1739,13440,29296
10/23/2023,1775,5502,14653,4314,4740,17209,3110,5547,12373,-280,4518,17209,411,-3741,-8487,870,175,1691,3613,-1140,-302,-505,7291,-2365,3940,761,-5557,4898,10108,6044,1775,6228,15462,4314,4740,22366,4993,6273,16340,5042,10932,25348,575,-5260,-13207,870,-640,-4530,3050,-1700,-7192,3008,3770,2772,3940,-495,-5982,4898,4480,3193,7177,16739,5222,23000,7420,16694,5767,19095,-3010,-7612,-2615,-2976,-858,-2397,11318,-1894,734,-5893,9733,9852
10/24/2023,1400,677,3917,1085,1345,7188,243,-170,4852,1205,2060,7188,790,-97,-2438,5,-1767,3077,-1876,8585,-182,250,6850,-1032,195,-2218,3773,-440,1782,-2383,1400,1950,4163,1085,1345,8304,1080,1650,6725,780,1490,5324,790,-35,-237,5,-1620,-769,512,1055,-5656,-3655,2073,-14289,-985,1055,-5504,-2125,-2923,-13154,1080,3881,1235,10516,1655,4406,1350,9031,-4247,-2114,-1178,2017,-3484,472,12213,5928,-182,4828,12213,861
10/25/2023,678,-3744,-5083,-95,-3305,-2619,-1042,-4399,-4079,-675,-1914,-2917,-855,-725,-7852,4025,2296,-5799,95,-1990,-8993,7107,2564,7141,3245,229,-2216,7928,4202,22167,1145,-2680,-4620,-95,-3305,-1457,-132,-3005,-4882,70,-3770,-6283,-855,-1123,-14294,4025,2475,-612,778,2225,-9934,6965,11876,37537,3550,3290,-11194,7928,12823,37216,-3351,-5801,-4460,-4759,-3351,-5801,-3325,-4759,-6535,-8920,1885,-1690,3610,-8688,3778,15342,-1852,-1737,1153,21236
10/26/2023,2310,2005,6968,2191,1043,8622,1916,34,-589,-555,1086,2399,2223,4113,24769,1568,4818,18029,3477,6278,27639,7575,2168,6192,2953,3749,1861,7656,1030,13537,1425,1233,593,2191,1043,38,406,1043,-1787,443,-4655,487,2223,9148,28399,1568,4818,18429,4101,7439,27679,7902,1992,-3209,2953,6322,22451,7656,-828,-3266,-23,3651,1221,1870,1125,-1685,986,5390,4698,32104,9222,21165,8164,20890,6467,-5189,6239,6250,9322,-770
10/27/2023,-80,1282,741,530,2180,4235,976,1131,1607,-330,2330,4345,1035,1320,-1414,495,6595,-8028,350,-1921,-4112,-965,-5483,-3510,1050,-1326,8697,3380,10242,-8996,-80,2130,440,530,2180,3559,1389,1162,624,70,1667,594,1145,5248,1043,495,6595,4728,486,15466,8392,7315,6678,-6554,2395,15180,7386,3380,5920,-7068,133,-1495,1590,5035,133,-1495,1019,6077,2341,-3278,4410,1627,-4962,-5914,-913,-8048,7983,3226,-1008,-8389
10/30/2023,200,6780,2119,375,6723,4184,-479,4937,1006,-230,5895,2494,1250,4715,13953,1150,4532,2999,1255,20,3845,-515,-2077,-228,880,4030,7272,-2591,-2004,-2031,435,6598,5261,375,6723,3105,-515,3873,3013,-25,3942,4713,965,7944,15244,1150,4636,2413,1960,6250,9425,-1299,4682,-35884,1230,5305,12697,-2591,4413,-33553,5603,-2359,2393,-5885,1690,-3046,5405,-1392,6777,12476,7561,9161,5474,6287,-4745,-5282,7539,10142,-4750,-7017
10/31/2023,-2102,-4184,-8888,-4455,-4069,-7233,-4642,-5908,-8888,-885,-2005,-7233,1550,1250,-6878,3428,1441,-5622,-2082,-1680,-8398,190,2540,-3910,2385,1813,-1294,70,4560,-2795,-1915,-4790,-13568,-4455,-4540,-11845,-4455,-6095,-12780,-3630,-7000,-13200,1550,604,-12770,3428,1441,-3909,-1895,-600,-8589,10,411,-5655,2465,-790,-7546,70,2540,-4455,-6899,-8958,-3455,-8875,-6899,-8958,-3600,-8875,-3898,-8026,1194,-6080,-4804,-8544,-4121,-4010,-2053,-3748,-4121,1365
11/1/2023,557,1400,1764,300,693,-5409,300,418,-1402,140,-667,-5409,580,-14,11052,695,2567,-3370,1650,1936,-4127,955,4197,6694,875,1285,-3771,2460,2306,5311,805,1400,-4091,300,693,-5409,300,418,8480,900,-150,-4968,580,1127,-2537,770,2567,-2179,1443,3755,-7626,-78,4778,25126,1025,3685,-7539,2460,5980,23889,1332,-2557,2345,-555,1446,-2557,1820,-555,-1531,15442,1120,1206,108,-3213,10588,13738,-1325,-4036,10058,8809
11/2/2023,-1188,-421,-1844,-1314,133,-971,-878,-1314,-1844,-565,-100,-971,1475,1016,-7028,1670,3256,3060,1516,-934,-2887,225,-1473,105,1500,1776,-1141,350,1596,1354,-430,-458,-367,-1314,133,1677,-664,-1540,-293,-1305,-744,-746,1475,3491,-4458,1670,3256,7157,1516,3299,-1100,520,7169,32821,1500,3299,-2481,350,7992,33230,-1917,-5517,-372,-6751,-1917,-5517,-372,-6751,-4879,-6534,-1062,1952,112,8353,-3999,6080,-2019,949,-3999,6080
11/3/2023,765,3030,642,1830,2945,-300,1965,1971,-308,-145,1710,352,1680,1085,3299,1315,1509,-3056,5276,-110,5482,1360,4646,-2701,3765,35,1938,6495,7396,-6769,765,940,1266,1830,2945,873,2138,1541,1218,1899,110,825,1680,2664,7557,1315,1509,-2382,5276,5349,15161,6070,729,6027,3765,5094,15161,6495,-197,6245,1660,2011,1136,2483,3251,2096,421,2715,-1526,-5450,925,155,4919,1077,-4052,-7221,-2985,-8885,-4052,-6787
11/6/2023,-65,4298,887,285,3688,4124,285,2310,887,-260,3308,3594,1020,13956,21119,1950,7908,14809,7404,7073,20753,1625,7205,-978,2500,6772,16271,1120,6910,565,-65,4298,2006,285,3688,4769,285,2733,2468,540,4546,2304,1020,16714,27391,1950,7908,18010,7404,14704,19304,-1449,1412,-8769,2600,9416,21633,1270,1980,-8769,4240,5800,3470,2537,4240,5800,3470,2537,4096,7643,-82,3920,4890,4595,1394,-3610,3395,9649,1394,-3610
11/7/2023,2800,3827,-362,1055,3097,-942,1705,4760,2196,2425,3705,-942,611,1990,10863,1690,960,164,4911,6497,7878,4200,-1556,428,3195,1625,-2310,7265,6614,-4707,2800,2882,-94,1055,3097,-1661,1060,3605,-256,1470,2692,-32,1280,2160,23993,1690,960,6485,5339,7975,14609,6667,3181,-3144,3195,7975,14453,7265,2579,-4817,284,-3787,-435,-3024,-561,-3787,-411,-3024,7419,10391,4477,-1055,7607,1280,-2872,-6652,2958,1071,-2872,-4078
