,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
AVG WIN day $,1650,3229,5520,2117,3710,5561,2175,3431,5977,1708,3588,6017,3074,4800,10663,2852,5449,9262,3694,5311,11347,2904,10145,6414,2238,2901,3704,3206,9213,13472,2084,3809,6516,2117,3684,6352,2102,3614,6400,1704,3428,6241,3094,6681,12836,2850,5838,10264,3771,7390,13272,6270,14697,35474,3572,6994,12974,6219,14544,34991,3565,6198,3755,6414,3618,6295,3587,5030,6259,10344,5079,8249,5765,9931,10969,16688,3124,4292,9872,16006
AVG LOSS day $,-560,-1708,-3193,-927,-1868,-3213,-1026,-1657,-3052,-592,-1765,-3152,-2331,-3583,-5723,-1763,-2986,-4666,-1878,-1382,-5772,-614,-4195,-2257,-1196,-2113,-3957,-1009,-3526,-5227,-862,-2024,-4168,-927,-2073,-4247,-971,-2095,-4153,-819,-1927,-4140,-2243,-5090,-10610,-1755,-3314,-6757,-2068,-3453,-8063,-3290,-9188,-26116,-1927,-3260,-8043,-3255,-9286,-26164,-2064,-3476,-2270,-3578,-2015,-3509,-2239,-3285,-4355,-5995,-3007,-4398,-3452,-5052,-4530,-5842,-2619,-4711,-4385,-5395
PAYOFF (win/loss),2.94,1.89,1.73,2.28,1.99,1.73,2.12,2.07,1.96,2.89,2.03,1.91,1.32,1.34,1.86,1.62,1.82,1.98,1.97,3.84,1.97,4.73,2.42,2.84,1.87,1.37,0.94,3.18,2.61,2.58,2.42,1.88,1.56,2.28,1.78,1.5,2.16,1.72,1.54,2.08,1.78,1.51,1.38,1.31,1.21,1.62,1.76,1.52,1.82,2.14,1.65,1.91,1.6,1.36,1.85,2.15,1.61,1.91,1.57,1.34,1.73,1.78,1.65,1.79,1.8,1.79,1.6,1.53,1.44,1.73,1.69,1.88,1.67,1.97,2.42,2.86,1.19,0.91,2.25,2.97
(context) true MAX DRAWDOWN $,-2830,-12864,-38969,-6755,-13754,-46779,-6039,-14518,-34720,-4178,-16943,-31015,-15829,-44946,-65463,-15958,-23636,-47799,-16913,-10144,-66292,-2155,-28647,-31025,-11001,-22240,-53428,-3980,-15704,-55786,-8210,-20934,-44735,-6755,-19284,-42888,-6694,-19827,-46001,-4300,-17015,-56561,-14667,-45579,-117865,-15958,-29598,-85912,-18481,-29535,-103948,-16434,-66172,-354986,-18045,-29657,-97417,-15864,-67877,-351214,-25790,-26751,-24497,-30594,-25402,-29493,-19482,-44193,-63467,-106363,-29855,-52712,-36053,-64924,-72219,-83951,-29871,-60586,-71467,-63688
maxDD 7-day $,-2830,-9776,-30857,-6755,-13754,-31590,-6039,-13346,-26182,-3838,-11159,-22889,-14068,-27372,-45296,-15958,-23636,-35839,-16913,-10144,-46142,-2155,-25142,-19930,-11001,-18399,-34652,-3980,-15704,-37892,-8210,-15602,-31319,-6755,-14750,-30148,-6694,-13708,-28670,-4300,-14341,-36222,-14667,-41606,-83915,-15958,-29598,-53589,-18481,-29535,-63084,-16434,-66172,-266192,-18045,-29657,-57467,-15864,-67877,-260239,-17408,-26751,-20165,-30594,-15903,-29493,-19482,-37055,-34596,-49691,-23284,-35388,-26352,-44278,-39319,-50500,-25224,-40115,-39128,-51101
maxDD 30-day $,-2830,-12864,-38969,-6755,-13754,-46779,-6039,-14518,-34720,-4178,-16943,-31015,-15829,-44946,-65463,-15958,-23636,-47799,-16913,-10144,-66292,-2155,-28647,-29790,-11001,-22240,-48341,-3980,-15704,-55786,-8210,-20934,-44735,-6755,-19284,-42888,-6694,-19827,-46001,-4300,-17015,-56561,-14667,-45579,-117865,-15958,-29598,-85912,-18481,-29535,-103948,-16434,-66172,-354986,-18045,-29657,-97417,-15864,-67877,-351214,-25790,-26751,-24497,-30594,-25402,-29493,-19482,-44193,-49422,-81764,-29855,-52712,-36053,-64924,-72219,-83951,-29871,-60586,-71467,-63688
ret / maxDD30,349.4,114.6,40.5,159.2,122.5,31.9,167.0,91.2,50.6,179.8,105.3,63.1,73.2,35.3,27.3,91.1,96.5,56.5,107.2,161.2,34.4,809.3,123.9,47.5,81.6,45.8,10.4,542.3,277.9,56.5,137.3,81.6,46.1,159.2,85.7,47.2,151.7,78.2,43.0,202.0,77.1,28.3,81.9,43.0,19.9,91.2,84.2,33.8,101.5,106.4,36.6,192.6,84.1,20.7,97.9,97.5,36.4,195.6,80.5,20.6,50.4,74.7,54.9,66.4,52.3,66.3,66.5,29.8,26.1,18.7,63.3,48.3,52.4,46.7,35.4,34.1,16.5,8.2,34.9,62.0
avg peak capital $,2414,2845,5771,1462,3224,5814,1537,2899,7483,1266,4949,7096,1584,3431,7118,1571,3039,7469,1729,3418,6318,2889,3238,6380,1453,4552,5890,4435,7410,8770,1478,3078,7258,1462,3226,7415,1537,3316,7592,2057,3412,6616,1591,3392,7519,1571,3397,7609,1729,3931,8379,2099,3524,9821,1496,3401,7855,2026,3516,9768,2809,5780,2832,5802,2862,5848,2893,6055,2917,5880,2910,5870,5524,5938,2919,5831,2779,5327,4114,10486
ret on capital (daily $/$),0.535,0.677,0.357,0.962,0.683,0.336,0.858,0.597,0.307,0.776,0.471,0.36,0.956,0.605,0.328,1.21,0.982,0.473,1.371,0.625,0.472,0.789,1.433,0.29,0.807,0.292,0.111,0.636,0.77,0.469,0.997,0.725,0.371,0.962,0.669,0.357,0.864,0.611,0.34,0.552,0.503,0.317,0.986,0.756,0.409,1.211,0.959,0.499,1.419,1.045,0.593,1.971,2.065,0.976,1.543,1.112,0.59,2.002,2.032,0.967,0.605,0.452,0.62,0.458,0.607,0.437,0.586,0.284,0.578,0.34,0.849,0.567,0.447,0.668,1.143,0.641,0.231,0.122,0.793,0.492
profitScore ($20-norm),2584,1927,1031,2812,2203,977,2638,1730,1150,1964,2331,1279,3030,2076,1169,3802,2983,1767,4742,2137,1493,4560,4640,925,2346,1331,327,5642,5704,2059,2948,2233,1348,2812,2159,1322,2656,2027,1292,2270,1715,1047,3138,2564,1537,3804,3258,1899,4906,4106,2486,8274,7278,4792,4618,3781,2317,8112,7143,4722,1699,1306,1757,1329,1736,1279,1694,860,1686,1000,2472,1664,2468,1982,3337,1869,643,325,3262,2580
riskScore ($20-norm),-5660,-12864,-19484,-13510,-13754,-23389,-12078,-14518,-17360,-8356,-16943,-15507,-31658,-44946,-32731,-31916,-23636,-23899,-33826,-10144,-33146,-4310,-28647,-14895,-22002,-22240,-24170,-7960,-15704,-27893,-16420,-20934,-22367,-13510,-19284,-21444,-13388,-19827,-23000,-8600,-17015,-28280,-29334,-45579,-58932,-31916,-29598,-42956,-36962,-29535,-51974,-32868,-66172,-177493,-36090,-29657,-48708,-31728,-67877,-175607,-25790,-13375,-24497,-15297,-25402,-14746,-19482,-22096,-49422,-40882,-29855,-26356,-36053,-32462,-72219,-41975,-29871,-30293,-71467,-31844
GOV lossMax $,-6000,-7000,-9000,-6000,-7000,-9000,-6000,-7000,-9000,-1000,-7000,-9000,-6000,-7000,-9000,-6000,-7000,-9000,-6000,-2000,-9000,-1000,-7000,-4000,-6000,-7000,-9000,-6000,-7000,-9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000
GOV worst floor HELD $,-2843,-6890,-8998,-4680,-6994,-8990,-4811,-6740,-8997,-1000,-6995,-8995,-5999,-6998,-9000,-5965,-7000,-9000,-5995,-2179,-9084,-1000,-7000,-4000,-6000,-7000,-9000,-5975,-7000,-9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-6990,-9000,-7000,-9000
GOV days over cap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV covers deferred,0,0,180,0,12,303,0,0,78,742,8,57,6,67,1560,2,313,1128,27,4279,9145,1431,779,972,0,0,0,3,427,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,22,9,30,4,22,21,79,340,1849,489,1094,1199,3399,1231,1073,0,0,1975,824
GOV offsets bought,0,24,1141,0,175,1037,1,35,2225,27,96,1896,33,143,1983,5,165,1796,21,762,1982,6,968,1500,8,114,726,2,936,3116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,1571,247,1626,212,1680,224,884,304,1150,292,1093,225,1238,716,2438,62,628,589,2665
