,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
TOTAL terminal $,1089452,1643200,1952758,1060600,1621683,1930145,1004620,1517290,1913555,928222,1576411,1918892,1126059,1634861,1638106,1393413,2268497,2542016,1806214,2678377,2818031,2794412,3249127,2783842,956183,655292,561900,2732435,3161811,2717692,1089452,1609639,2029458,1060600,1578921,1992967,1004620,1480002,1956432,823260,1204749,1566092,1163487,1832099,2178989,1394906,2294432,2687924,1802163,2779534,3522480,3013653,5144156,7134242,1646999,2573811,3272360,2958792,5046126,7039138,1279419,2021145,1250776,1993424,1258540,2007479,1204516,1946538,1212849,1468483,1700873,2493560,2257860,3060494,2499531,2834715,636243,602495,2482977,2819851
AVG terminal/day $,1424,2148,2553,1386,2120,2523,1313,1983,2501,1213,2061,2508,1472,2137,2141,1821,2965,3323,2361,3501,3684,3653,4247,3639,1250,857,735,3572,4133,3553,1424,2104,2653,1386,2064,2605,1313,1935,2557,1076,1575,2047,1521,2395,2848,1823,2999,3514,2356,3633,4605,3939,6724,9326,2153,3364,4278,3868,6596,9201,1672,2642,1635,2606,1645,2624,1575,2544,1585,1920,2223,3260,2951,4001,3267,3706,832,788,3246,3686
MEDIAN terminal/day $,1390,2017,1582,1345,1969,1574,1307,1867,1631,1175,1883,1507,1779,1793,-333,1821,2493,1891,2084,2382,1605,3845,2811,-482,1128,920,1196,3752,2706,-584,1390,1995,2098,1345,1962,2170,1307,1850,2085,1070,1422,1576,1840,2617,2658,1817,2672,2745,2084,2745,3383,4270,7191,9470,1881,2448,3383,4209,7038,9420,1624,1982,1623,1934,1636,1860,1520,1965,1287,0,1619,1984,2095,2231,263,-2260,888,1184,263,-2190
RETURN / worst-10day-loss,244.9,122.5,75.9,237.4,139.3,63.3,229.0,119.5,68.4,212.6,94.5,78.0,68.8,48.9,29.1,235.2,149.3,58.3,344.4,217.7,56.5,397.2,133.3,69.0,87.0,21.9,16.9,352.6,136.6,66.1,244.9,75.8,69.4,237.4,80.6,63.0,229.0,73.1,52.8,214.3,75.5,33.5,95.6,42.0,24.3,235.4,133.8,37.9,343.6,215.8,44.0,284.7,91.3,21.2,391.1,107.6,43.7,291.5,89.0,21.3,67.5,73.3,62.9,70.5,65.3,70.4,68.8,70.6,29.3,26.2,76.9,63.5,80.3,68.5,52.3,46.8,28.7,16.9,52.0,45.8
WORST 5-day loss $ (~1wk),-5965,-14687,-20428,-6195,-13649,-23759,-5498,-14509,-22464,-5665,-15062,-18225,-13118,-29396,-37968,-16466,-25009,-35994,-17031,-26768,-40438,-15247,-22419,-30814,-13719,-25130,-25412,-15247,-22419,-30996,-5965,-15687,-27662,-6195,-14727,-25446,-5498,-14196,-23948,-4275,-13671,-29999,-15590,-40281,-83915,-16466,-30174,-53083,-18136,-31605,-57471,-16677,-62582,-206361,-17520,-32201,-58329,-16677,-64287,-194811,-14248,-30265,-15838,-30438,-15033,-30709,-14258,-30265,-30016,-38075,-23284,-36805,-26468,-39533,-31674,-39511,-23205,-30933,-31674,-39511
  worst 5-day END date,12/29/2023,12/29/2023,11/26/2024,12/29/2023,12/29/2023,4/2/2024,12/29/2023,4/3/2024,4/2/2024,4/3/2024,12/29/2023,11/26/2024,10/29/2024,9/24/2025,9/12/2023,9/10/2025,9/10/2025,9/10/2025,9/10/2025,9/10/2025,9/10/2025,1/17/2024,9/11/2023,4/24/2023,7/3/2024,7/5/2024,7/20/2023,1/17/2024,9/11/2023,4/24/2023,12/29/2023,12/29/2023,1/2/2025,12/29/2023,7/25/2023,1/2/2025,12/29/2023,4/3/2024,1/2/2025,4/3/2023,12/29/2023,4/2/2024,9/10/2025,4/28/2023,4/28/2023,9/10/2025,9/10/2025,9/10/2025,9/10/2025,9/10/2025,9/10/2025,1/17/2024,4/5/2024,4/3/2024,9/10/2025,9/10/2025,9/10/2025,1/17/2024,4/5/2024,4/5/2024,7/5/2023,5/13/2024,7/5/2023,5/13/2024,7/5/2023,5/13/2024,1/26/2024,5/13/2024,9/24/2025,8/12/2025,9/10/2025,9/10/2025,7/23/2025,9/10/2025,3/21/2024,3/25/2024,7/5/2024,3/22/2024,3/21/2024,3/25/2024
WORST 10-day loss $ (~2wk),-4449,-13409,-25740,-4467,-11644,-30497,-4387,-12702,-27958,-4366,-16688,-24604,-16376,-33464,-56257,-5925,-15196,-43611,-5245,-12302,-49864,-7035,-24367,-40328,-10985,-29854,-33329,-7750,-23150,-41112,-4449,-21227,-29264,-4467,-19578,-31628,-4387,-20241,-37046,-3842,-15955,-46684,-12169,-43575,-89839,-5925,-17144,-70955,-5245,-12881,-80024,-10585,-56370,-336196,-4211,-23909,-74851,-10149,-56715,-330253,-18955,-27560,-19886,-28258,-19263,-28529,-17508,-27560,-41426,-56056,-22106,-39246,-28107,-44685,-47748,-60601,-22191,-35609,-47748,-61604
  worst 10-day END date,8/22/2025,7/25/2023,4/9/2024,8/20/2025,7/25/2023,4/9/2024,5/19/2023,7/25/2023,10/29/2024,5/19/2023,7/25/2023,10/29/2024,12/16/2024,12/16/2024,12/16/2024,7/19/2023,7/19/2023,1/29/2024,1/16/2023,1/16/2023,7/19/2023,1/17/2024,7/6/2023,7/6/2023,7/11/2024,7/11/2024,7/7/2025,1/17/2024,7/6/2023,7/6/2023,8/22/2025,7/24/2023,9/12/2023,8/20/2025,7/24/2023,4/8/2024,5/19/2023,7/24/2023,4/9/2024,11/1/2024,7/25/2023,4/9/2024,7/11/2024,7/11/2024,7/11/2024,7/19/2023,1/29/2024,4/4/2024,1/16/2023,4/3/2024,4/4/2024,9/19/2023,7/12/2023,4/10/2024,7/19/2023,7/24/2023,4/4/2024,9/19/2023,7/12/2023,4/10/2024,7/11/2023,5/16/2024,7/11/2023,5/16/2024,7/6/2023,5/16/2024,7/11/2023,5/16/2024,5/27/2024,12/16/2024,4/3/2024,4/1/2024,7/23/2025,7/23/2025,7/12/2023,2/7/2024,7/11/2024,3/26/2024,7/12/2023,2/7/2024
MAX LOSING STREAK (days),6,6,6,5,6,6,6,6,6,4,5,6,5,6,7,5,6,9,5,6,5,5,8,7,6,6,6,6,8,7,6,6,7,5,6,7,6,6,8,5,8,7,5,6,5,5,5,5,5,5,9,4,5,10,5,6,6,6,6,10,7,6,7,6,8,7,7,6,6,8,7,7,7,7,11,12,9,5,11,12
  losing-streak $,-5410,-11838,-20087,-3287,-13346,-24292,-5128,-10846,-22997,-2790,-9430,-17311,-12820,-27597,-45815,-16466,-12854,-20206,-7724,-19069,-39137,-14407,-26130,-37711,-11259,-8285,-25672,-10055,-26690,-37892,-5410,-11525,-25367,-3287,-13033,-29809,-5128,-14583,-29545,-4210,-10391,-36587,-15590,-42144,-83915,-16466,-30174,-40558,-7724,-17896,-64632,-17886,-45896,-336196,-17520,-19048,-59211,-12894,-68082,-330253,-21760,-26016,-22443,-26016,-22356,-26595,-21760,-26016,-21521,-39621,-17994,-22375,-23893,-23489,-52193,-64554,-23215,-30392,-52193,-65558
