,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
  losing-streak END date,8/20/2025,4/3/2024,4/3/2024,10/28/2024,4/3/2024,4/3/2024,10/28/2024,9/12/2023,4/3/2024,9/12/2023,5/17/2023,10/23/2024,9/10/2025,4/28/2023,7/21/2023,9/10/2025,10/10/2024,4/5/2024,1/24/2025,10/10/2024,1/29/2024,3/22/2024,4/9/2024,4/24/2023,9/11/2025,10/21/2025,10/29/2024,7/28/2025,4/9/2024,4/24/2023,8/20/2025,4/3/2024,4/2/2024,10/28/2024,4/3/2024,4/2/2024,10/28/2024,4/3/2024,4/3/2024,7/17/2023,8/21/2025,1/30/2024,9/10/2025,4/28/2023,4/28/2023,9/10/2025,9/10/2025,1/29/2024,1/24/2025,4/28/2023,4/5/2024,9/11/2023,7/25/2025,4/10/2024,9/10/2025,10/10/2024,4/8/2024,7/28/2025,4/5/2024,4/10/2024,7/6/2023,7/6/2023,7/6/2023,7/6/2023,7/6/2023,7/14/2025,7/6/2023,7/6/2023,4/28/2023,9/15/2025,11/29/2023,4/20/2023,11/29/2023,11/27/2023,7/12/2023,2/9/2024,7/25/2023,7/20/2023,7/12/2023,2/9/2024
MAX WINNING STREAK (days),25,18,15,25,20,17,23,16,15,30,21,15,22,11,8,26,22,16,26,12,15,17,9,11,20,10,17,17,9,11,25,20,16,25,17,16,23,16,16,17,18,12,22,17,14,26,22,16,26,12,19,20,16,8,19,16,19,20,16,8,25,8,25,12,17,14,32,8,9,9,20,22,18,19,11,7,11,10,11,7
  winning-streak $,55741,65631,117705,51710,65866,124880,52159,53576,125705,53305,72494,140345,85819,85362,121580,88061,163395,202559,133567,112101,254227,108272,90426,201998,64876,46819,62603,103673,85519,199416,55741,70671,131633,51710,53753,123581,52159,53864,120664,35816,43494,65417,86239,103083,217765,88061,162878,199757,133567,70711,316399,125847,255164,266593,64464,127556,284858,121427,250753,253607,103316,43047,105094,105198,86383,139999,140632,38134,81554,103982,149760,247323,204511,275283,199354,150066,38874,54972,198981,150546
WORST single day $,-4455,-6994,-8312,-4455,-6994,-8532,-4455,-6994,-8923,-4455,-6994,-8135,-5995,-7000,-9000,-5205,-7000,-9000,-5965,-7000,-9000,-5999,-7000,-9000,-5640,-6985,-9000,-6000,-7000,-9000,-4455,-8671,-13855,-4455,-8671,-13855,-4455,-8130,-14359,-3630,-8355,-16855,-8916,-18715,-37315,-5205,-12240,-28085,-7485,-15105,-31085,-11120,-32815,-87160,-7695,-14000,-31085,-11120,-32815,-87685,-6805,-9000,-6805,-9000,-6805,-9000,-6805,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-6995,-9000,-7000,-9000
  worst day DATE,10/31/2023,1/23/2024,9/20/2023,10/31/2023,1/23/2024,11/25/2024,10/31/2023,1/23/2024,10/17/2025,10/31/2023,1/23/2024,1/2/2025,4/27/2023,5/17/2023,7/13/2023,9/4/2025,1/29/2024,12/10/2024,9/4/2025,6/12/2023,6/12/2023,2/20/2025,12/10/2024,7/24/2023,9/4/2025,11/14/2024,12/12/2023,5/22/2024,12/10/2024,7/24/2023,10/31/2023,7/24/2023,12/22/2023,10/31/2023,7/24/2023,12/22/2023,10/31/2023,9/28/2023,7/24/2023,10/31/2023,1/2/2025,12/22/2023,3/31/2023,3/31/2023,3/31/2023,9/4/2025,6/18/2025,5/22/2024,8/8/2023,8/8/2023,8/8/2023,10/17/2023,5/22/2024,5/22/2024,9/4/2025,8/8/2023,8/8/2023,10/17/2023,5/22/2024,5/22/2024,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,12/12/2023,4/25/2023,9/11/2023,9/11/2023,10/16/2024,6/12/2023,9/11/2023,5/15/2023,9/4/2025,3/27/2023,9/11/2023,5/15/2023
BEST single day $,8508,16801,28859,8934,14554,30296,8995,17232,28825,7813,16341,29124,12036,24787,52579,12554,30464,48010,18296,33972,69435,17230,41803,66612,17212,21344,25725,17230,41673,64788,8508,16801,31901,8934,14554,32615,8995,17232,31946,7709,11186,28911,12525,26845,55390,12554,30562,65131,18296,33972,75057,17230,50951,111962,17685,32679,76005,17230,50951,112337,10849,32792,11338,35280,21016,31429,11360,32952,27383,50048,26657,43693,29917,72629,44549,80613,14050,25075,44549,80613
  best day DATE,3/18/2025,10/19/2023,2/7/2023,2/28/2023,6/12/2024,2/7/2023,6/12/2024,6/12/2024,9/17/2025,10/18/2024,10/19/2023,2/7/2023,1/29/2025,4/22/2025,6/12/2024,4/2/2025,6/12/2024,10/29/2025,9/17/2025,10/29/2025,1/29/2025,2/21/2025,3/28/2025,3/10/2025,4/22/2025,4/22/2025,2/7/2023,2/21/2025,3/28/2025,3/10/2025,3/18/2025,10/19/2023,5/7/2025,2/28/2023,6/12/2024,2/7/2023,6/12/2024,6/12/2024,5/7/2025,10/18/2024,2/24/2025,5/7/2025,1/29/2025,6/12/2024,6/12/2024,4/2/2025,6/12/2024,6/12/2024,9/17/2025,10/29/2025,1/29/2025,2/21/2025,10/14/2024,10/3/2023,4/22/2025,10/29/2025,1/29/2025,2/21/2025,10/14/2024,12/26/2023,7/26/2023,2/7/2023,1/5/2023,2/7/2023,4/4/2025,2/7/2023,9/17/2025,2/7/2023,6/12/2024,6/12/2024,6/12/2024,6/12/2024,9/17/2025,1/29/2025,11/24/2025,2/9/2023,4/22/2025,5/3/2023,11/24/2025,2/9/2023
opens/day,13.35,16.36,19.4,13.62,16.64,19.55,13.86,16.89,19.66,13.43,16.37,19.4,15.79,17.68,17.63,17.91,21.74,23.06,24.85,29.21,28.39,36.63,32.64,27.47,14.16,8.77,6.88,36.52,32.56,27.49,13.35,16.32,18.9,13.62,16.6,18.98,13.86,16.83,19.06,13.46,16.38,18.83,16.09,19.37,20.95,17.91,22.09,23.97,24.89,30.05,32.01,39.64,47.94,51.34,24.57,29.81,31.92,39.55,47.93,51.33,16.46,18.03,16.59,18.09,16.75,18.13,16.49,18.05,17.38,17.05,21.65,22.1,29.44,28.71,29.95,25.78,8.37,6.97,29.95,25.81
NEG days,172/765,216/765,285/765,191/765,217/765,276/765,211/765,228/765,283/765,176/765,210/765,291/765,230/765,299/765,389/765,176/765,238/765,318/765,184/765,269/765,336/765,195/765,305/765,395/765,225/765,282/765,308/765,202/765,309/765,397/765,172/765,213/765,275/765,191/765,216/765,269/765,211/765,227/765,279/765,190/765,257/765,307/765,225/765,274/765,321/765,176/765,230/765,297/765,185/765,249/765,301/765,181/765,262/765,322/765,190/765,265/765,307/765,187/765,262/765,318/765,261/765,285/765,260/765,288/765,259/765,288/765,261/765,286/765,324/765,382/765,265/765,297/765,253/765,299/765,378/765,438/765,292/765,308/765,378/765,435/765
WIN %,77%,72%,63%,75%,72%,64%,72%,70%,63%,77%,72%,62%,70%,61%,49%,77%,69%,58%,76%,65%,56%,74%,60%,48%,70%,63%,60%,73%,59%,48%,77%,72%,64%,75%,72%,65%,72%,70%,63%,75%,66%,60%,70%,64%,58%,77%,70%,61%,76%,67%,61%,76%,66%,58%,75%,65%,60%,75%,66%,58%,66%,63%,66%,62%,66%,62%,66%,62%,58%,50%,65%,61%,67%,61%,50%,43%,62%,60%,50%,43%
(context) true MAX DRAWDOWN $,-8295,-14687,-33527,-7070,-13649,-36815,-6779,-14896,-29228,-6234,-16688,-33482,-16376,-33883,-75995,-16466,-25009,-52389,-17031,-26768,-55299,-19355,-30703,-56196,-13920,-31966,-46594,-19045,-31263,-54827,-8295,-22437,-45235,-7070,-20788,-43353,-6779,-21331,-46376,-5395,-15955,-61323,-15590,-50459,-115541,-16466,-30174,-92998,-18136,-31605,-105462,-17886,-72460,-362726,-17520,-32201,-106497,-17316,-72805,-358964,-22599,-30420,-28864,-30594,-29445,-30865,-23380,-30420,-78456,-113432,-33004,-54992,-43411,-58794,-61346,-83951,-32932,-61132,-61641,-85946
maxDD 7-day $,-8295,-14687,-23547,-7070,-13649,-25790,-6779,-14896,-24766,-6234,-15062,-22345,-14943,-29396,-45815,-16466,-25009,-35994,-17031,-26768,-46478,-19355,-25416,-37711,-13920,-28175,-28981,-19045,-25565,-37892,-8295,-15687,-31589,-7070,-14727,-30153,-6779,-14583,-28700,-5395,-14338,-36587,-15590,-45071,-83915,-16466,-30174,-56764,-18136,-31605,-62448,-17886,-66377,-269357,-17520,-32201,-59211,-17316,-68082,-263414,-21760,-30265,-22443,-30594,-21918,-30865,-21760,-30265,-36937,-48417,-23457,-37848,-29719,-48058,-42389,-50500,-23240,-38855,-42389,-50500
maxDD 30-day $,-8295,-14687,-33527,-7070,-13649,-36815,-6779,-14896,-29228,-6234,-16688,-33482,-16376,-33883,-75995,-16466,-25009,-52389,-17031,-26768,-55299,-19355,-30703,-56196,-13920,-29854,-46594,-19045,-31263,-54827,-8295,-22437,-45235,-7070,-20788,-43353,-6779,-21331,-46376,-5395,-15955,-61323,-15590,-50459,-115541,-16466,-30174,-92998,-18136,-31605,-105462,-17886,-72461,-362726,-17520,-32201,-106497,-17316,-72806,-358964,-22599,-30420,-28864,-30594,-29445,-30865,-23380,-30420,-51687,-87155,-33004,-54992,-43411,-58794,-61346,-83951,-27717,-53823,-61641,-85946
ret / maxDD30,131.3,111.9,58.2,150.0,118.8,52.4,148.2,101.9,65.5,148.9,94.5,57.3,68.8,48.3,21.6,84.6,90.7,48.5,106.1,100.1,51.0,144.4,105.8,49.5,68.7,21.9,12.1,143.5,101.1,49.6,131.3,71.7,44.9,150.0,76.0,46.0,148.2,69.4,42.2,152.6,75.5,25.5,74.6,36.3,18.9,84.7,76.0,28.9,99.4,87.9,33.4,168.5,71.0,19.7,94.0,79.9,30.7,170.9,69.3,19.6,56.6,66.4,43.3,65.2,42.7,65.0,51.5,64.0,23.5,16.8,51.5,45.3,52.0,52.1,40.7,33.8,23.0,11.2,40.3,32.8
avg peak capital $,1481,3083,7147,1464,3228,7288,1541,3319,7463,1759,3109,7102,1585,3342,7146,1573,3404,7521,1731,3921,8156,2049,3255,7107,1456,2894,6015,1965,3248,7086,1481,3085,7266,1464,3231,7422,1541,3321,7599,2002,3409,6621,1593,3399,7572,1573,3405,7672,1731,3947,8474,2095,3574,9884,1500,3428,7947,2012,3562,9835,2806,5771,2832,5802,2860,5836,2890,5778,2914,5877,2910,5873,3006,5935,2919,5831,2796,5418,2919,5831
ret on capital (daily $/$),0.962,0.697,0.357,0.947,0.657,0.346,0.852,0.597,0.335,0.69,0.663,0.353,0.929,0.639,0.3,1.158,0.871,0.442,1.364,0.893,0.452,1.783,1.305,0.512,0.859,0.296,0.122,1.818,1.272,0.501,0.962,0.682,0.365,0.947,0.639,0.351,0.852,0.583,0.336,0.537,0.462,0.309,0.955,0.705,0.376,1.159,0.881,0.458,1.361,0.92,0.543,1.88,1.881,0.944,1.435,0.981,0.538,1.922,1.852,0.936,0.596,0.458,0.577,0.449,0.575,0.45,0.545,0.44,0.544,0.327,0.764,0.555,0.982,0.674,1.119,0.636,0.298,0.145,1.112,0.632
profitScore ($20-norm),2848,2148,1277,2772,2120,1262,2626,1983,1251,2426,2061,1254,2944,2137,1071,3642,2965,1662,4722,3501,1842,7306,4247,1820,2500,857,368,7144,4133,1777,2848,2104,1327,2772,2064,1303,2626,1935,1279,2152,1575,1024,3042,2395,1424,3646,2999,1757,4712,3633,2303,7878,6724,4663,4306,3364,2139,7736,6596,4601,1672,1321,1635,1303,1645,1312,1575,1272,1585,960,2223,1630,2951,2001,3267,1853,832,394,3246,1843
riskScore ($20-norm),-16590,-14687,-16763,-14140,-13649,-18407,-13558,-14896,-14614,-12468,-16688,-16741,-32752,-33883,-37997,-32932,-25009,-26194,-34062,-26768,-27649,-38710,-30703,-28098,-27840,-29854,-23297,-38090,-31263,-27413,-16590,-22437,-22617,-14140,-20788,-21676,-13558,-21331,-23188,-10790,-15955,-30661,-31180,-50459,-57770,-32932,-30174,-46499,-36272,-31605,-52731,-35772,-72461,-181363,-35040,-32201,-53248,-34632,-72806,-179482,-22599,-15210,-28864,-15297,-29445,-15432,-23380,-15210,-51687,-43577,-33004,-27496,-43411,-29397,-61346,-41975,-27717,-26911,-61641,-42973
GOV lossMax $,-6000,-7000,-9000,-6000,-7000,-9000,-6000,-7000,-9000,-6000,-7000,-9000,-6000,-7000,-9000,-6000,-7000,-9000,-6000,-7000,-9000,-6000,-7000,-9000,-6000,-7000,-9000,-6000,-7000,-9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000
GOV worst floor HELD $,-4730,-6994,-8995,-5115,-6994,-8995,-4780,-7000,-8995,-4695,-6994,-8995,-5995,-7000,-9000,-5980,-7000,-9000,-5995,-7000,-9000,-6000,-7000,-9000,-5995,-6990,-9000,-6000,-7000,-9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-7000,-9000,-6995,-9000,-7000,-9000
GOV days over cap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV covers deferred,0,13,51,0,12,44,0,2,65,0,13,57,14,487,1717,2,415,1203,8,967,4684,298,927,677,0,0,0,325,945,709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,30,45,30,44,29,25,30,403,1967,579,1109,1415,3463,1266,1079,0,0,1266,1079
GOV offsets bought,0,175,1908,0,185,1959,0,212,2050,0,169,1903,24,477,1833,5,353,1814,24,592,2168,72,1025,3007,10,194,768,73,990,3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,1586,253,1624,272,1646,224,1574,280,1109,301,1092,435,1108,721,2427,135,674,716,2442
GOV offset spend $,0,72215,932099,0,78280,948990,0,88491,994764,0,69061,925260,9031,187616,773433,1433,141935,790973,9114,236673,958950,26655,414750,1521454,3236,77518,353075,26566,404076,1518785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93081,729113,100712,747113,110073,758612,89968,724837,109699,458419,123826,476299,193733,486548,253122,1095351,52795,306919,251865,1099192
GOV opens blocked,0,68,611,0,71,597,0,69,614,0,76,613,233,1448,3436,6,441,1844,42,733,2969,2283,12072,20097,42,597,1946,2300,12082,20077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,1313,480,1318,472,1325,463,1301,1508,3098,700,1741,1120,2289,16128,21921,482,2414,16129,21911

DATE,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
12/27/2022,-1050,-1710,-6070,-1050,-1710,-6070,-1050,-1710,-6070,-1050,-1710,-6070,1295,3196,4212,1295,3196,4212,1295,1691,4212,-540,1001,4212,1130,2366,3530,-540,1001,4212,-1050,-1710,-6070,-1050,-1710,-6070,-1050,-1710,-6070,-1050,-3390,-6070,1295,3196,5051,1295,3196,5051,1295,1691,5051,-540,1001,5051,1130,1356,5051,-540,1001,5051,-1715,-6268,-1715,-6268,-1715,-6268,-1715,-6268,6976,9479,6606,10981,3226,9629,-861,-3559,380,5420,-861,-3559
12/28/2022,2877,4530,7502,1863,2415,7502,1999,2334,8840,2372,4530,7502,1988,-1212,-8947,2890,1449,3051,3670,-908,2228,6493,5240,9834,975,-465,-7278,6263,4790,9834,2877,4530,8150,1863,2526,8150,1999,2334,9730,1974,3423,6345,1988,-1120,-5583,2890,2614,7175,3670,1203,6353,9380,22423,47997,3465,-1213,2276,9150,21783,48707,4960,3884,4950,3884,2145,3884,4960,3884,-2779,-7685,2782,5531,4360,12220,-602,-8990,1424,-5607,-602,-8990
12/29/2022,3225,11457,4042,3353,9857,4692,3383,8372,5692,4430,12642,4042,2316,12055,3138,4280,13871,10354,6059,14711,17999,4426,9334,-392,2435,3918,-970,4426,9334,-392,3225,11457,6418,3353,9857,7068,3383,8372,8068,3045,10317,6738,2316,12101,7052,4280,13871,10762,6059,15195,20684,4426,23581,30500,5592,15195,23034,4426,23581,30500,7284,-2467,5664,-2467,4049,-1467,7284,-2467,11749,971,14917,1120,9573,10867,7172,665,1558,-712,7172,665
12/30/2022,1725,1133,-6247,1415,-923,-6247,1722,-923,-6247,1910,1140,-6247,8443,10022,-3084,2743,2676,2957,6733,6193,-452,-1574,-2423,-1245,261,-47,6526,-1574,-2423,-1245,1725,1133,-5878,1415,-923,-5878,1722,-923,-5878,740,684,-7290,8443,13613,-1706,2743,2676,-1633,6733,707,-9418,-1574,-10219,-28190,6498,157,-10418,-1574,-10219,-28190,1686,418,1686,418,1686,418,1686,418,9576,2642,603,-493,-100,-4778,-3421,-8940,-511,55,-3421,-8940
1/3/2023,75,388,-1193,304,-1132,1140,-710,-579,-1241,625,388,-1193,-25,1178,-3897,351,2344,-6052,-289,-4224,-6586,-7,1405,-6094,760,220,-957,-7,-6263,-6094,75,388,641,304,-1132,2095,-710,-579,-44,660,-547,-2107,-25,879,6921,351,2344,-4939,-289,-4224,-11339,-7,-1914,-17140,726,-2348,-12474,-7,-2239,-17905,-1615,1583,-1615,1583,-1412,1583,-1615,1583,276,-3322,730,128,-2254,-5195,-6809,-3941,3610,1194,-6809,-3941
