,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
8/17/2023,1288,-375,202,3072,-1255,2275,2589,-814,1721,1553,-777,-238,430,-1913,-4045,527,-1925,-789,117,-1935,-8984,4577,1992,5519,221,-1657,1558,5607,1475,12994,1288,65,544,3072,-1255,-883,2870,-454,720,1718,1241,3613,430,-1913,334,527,-1121,4195,3771,-1509,-4590,4577,1047,25673,642,-1984,-4353,4732,2501,25668,70,-3091,260,-873,-284,1746,530,-873,-3396,-4507,-3685,-5594,-2946,-6956,1909,8737,-773,-2409,1909,14698
8/18/2023,105,5041,13961,-410,3772,16126,5,6153,12990,550,3899,16146,3090,-2828,-1618,2945,6859,13691,1215,-1785,9240,3235,19880,-1425,3100,-2410,-2438,3575,20343,2014,105,5218,13954,-410,3772,16704,5,6093,13029,-945,3463,13393,3090,-980,-4637,2945,6859,19485,-579,2585,8756,3235,18076,69358,3100,2330,8910,3575,19880,71866,4799,9666,5503,14382,6687,8486,5391,13974,-1575,-95,6630,16192,3452,15030,21873,-2250,-2098,185,21283,5076
8/21/2023,860,11,-1773,1525,1050,5579,-1017,1301,-4459,1275,2101,5415,-1675,-3585,-5796,-1135,-3175,-6705,-1983,-1903,-8922,460,-439,5446,-1485,-1615,-2701,-1415,2503,8831,860,2575,294,995,1050,4912,200,2470,1721,205,1069,5752,-1345,-6410,-15450,-2875,-4750,-6695,-1802,-8270,-15383,-903,-6270,24784,-1620,-3988,-13694,-3040,-4105,26127,2151,5653,725,6304,723,4352,1640,6729,-4040,-7994,-3895,1192,-6439,-7264,9107,7440,-753,-2019,9107,13897
8/22/2023,1115,3331,-3860,2605,1324,-1786,2032,1216,-464,1200,2093,-1216,1910,10135,1068,4061,11440,13967,7993,12957,19061,7796,19470,-2656,3740,3440,-1143,8733,12773,-2376,1115,870,1031,2605,1324,-611,1504,-160,1326,1395,-235,658,1910,10474,11726,4061,11440,16590,6966,15137,21340,6059,22399,18070,3740,14367,21155,9068,22514,18438,1049,1331,-752,1170,1049,1331,-752,-2015,7889,7332,6534,3390,10588,12992,1135,-1975,-271,1114,1135,-7124
8/23/2023,2965,3548,7647,3829,3915,12659,3563,5729,10567,2970,5107,12861,967,-383,-645,2403,4846,14981,4034,-1155,17258,2313,8537,-2395,228,-1424,-4665,3286,6583,-3029,2965,4615,11163,3793,3915,14298,4231,6432,12283,3005,3659,12516,1042,2268,797,2403,4975,15772,4635,7707,13238,3836,12670,27137,-144,7307,12505,4726,14460,29537,2434,2088,150,3437,708,3285,430,3042,-18,1193,9235,10491,4406,9703,12373,-160,-2278,-1670,12373,-99
8/24/2023,690,2666,-2961,2462,388,2051,1431,630,-3643,2065,467,2976,-1605,-4350,-6400,180,-862,-6530,-770,-1960,-8993,4824,6325,-1730,-1020,-1317,-4325,6757,5348,32400,690,3570,-2627,2462,388,2051,1467,929,-1733,2400,1417,1343,-1305,-6865,-23191,655,-862,-10259,-770,-1070,-18242,4824,5716,41832,-5,-2275,-16097,6757,6373,41077,1907,-2568,440,2777,184,-1222,2235,3027,-4475,-8952,-1620,-6929,-6154,-8468,5078,34679,-6385,-3685,5068,30531
8/25/2023,185,1156,2553,1387,3218,2993,2506,3293,-476,1185,528,-60,1862,4192,7194,2115,5954,-3506,1957,9954,249,1315,3867,-1039,877,1780,-562,841,2269,-2469,185,2763,-2060,1387,3218,2351,1602,3957,3039,327,2211,-2399,1862,4257,7652,3977,5954,-5103,2071,7068,-6013,797,3483,-21075,1101,6121,-6158,101,4746,-19008,584,-2960,2957,4304,2900,165,2559,1633,5702,14591,1176,-180,5197,4677,2612,-916,2031,6139,2612,3466
8/28/2023,300,3831,3873,-970,1255,2416,-1005,3522,5506,-235,2747,2974,1585,4049,3954,1595,3426,1583,473,3059,-4589,513,-1289,-2700,1875,3953,2390,-915,-1829,-5869,530,3831,4467,-970,1255,1075,-1005,3522,2189,1020,4181,5315,1585,4378,8442,1960,4780,2030,2054,3576,-3323,-36,-3722,-29128,1875,3576,-3323,-1260,-4405,-33483,4601,6188,3301,4998,5662,7417,3301,4824,5694,4987,4259,4273,4519,-3636,-3798,3443,6076,5730,-3798,343
8/29/2023,198,2582,2265,897,-2010,4607,1220,1818,2177,600,-1440,2978,2630,-855,-455,3095,5990,8751,605,-1576,4233,1880,15294,542,1072,400,-1719,3693,14266,12618,495,3371,2985,897,-2010,4875,1141,1838,3826,565,1024,1495,2630,462,-1085,3095,6215,10461,1872,1060,15125,979,5408,70923,2695,160,14910,4463,5347,72328,-213,6649,-820,4803,-683,6533,-590,5712,-3975,-6358,1904,9078,2251,13381,8607,16960,-925,-335,8607,16155
8/30/2023,5070,958,-3815,-300,304,-4535,2735,-2204,-3815,-95,1400,-3493,2331,4765,16426,2578,17608,14233,3810,4168,15690,3855,2027,219,1722,3961,1721,4345,5267,80,5070,-300,-5871,1410,304,-4442,1410,-3225,-4878,2540,-1396,-3462,2331,5500,27689,2578,18055,15563,4948,2905,18566,3855,2647,-6917,1722,2770,19458,4345,3294,-5256,-1317,-4037,-3066,-4855,-2571,-2257,-2626,-4855,6772,16987,4498,5677,1726,8249,740,-873,5403,2414,740,-1921
8/31/2023,1755,3291,2180,2703,1043,-260,3857,1864,629,835,487,943,1018,4148,6249,1325,3820,709,8142,5465,-612,-930,-2881,97,1451,5073,8767,275,177,-2647,1755,1077,1497,2703,1043,-4076,2093,1305,-2328,1790,158,-4918,1128,8182,22115,1960,5326,5530,10803,6370,7681,3494,136,-48174,2722,6010,-2639,855,367,-48551,1876,677,-227,401,1825,2835,378,401,4879,13807,3779,2559,4521,3121,-1068,-4950,3692,1188,-1068,-3447
9/1/2023,739,2292,-101,335,4465,1628,1880,4769,3906,100,2379,233,1300,-287,-5397,743,2279,-6275,2026,5315,4543,2138,5098,-2558,6533,-227,-4300,1947,735,-6452,739,1635,115,335,4465,2211,2097,5031,5159,310,1160,-1510,1300,237,-3647,843,2653,-11718,937,4010,9088,3155,13912,-24072,6394,3805,-1671,4735,13887,-24072,2977,4977,7493,7240,3838,4288,4683,6630,1125,-5143,1524,-5216,1348,-3941,-2460,-5072,-1003,-4290,-2460,-5045
9/4/2023,105,1336,820,2025,2285,2145,2025,3075,820,605,1525,2263,2465,2536,2395,2750,3826,7111,4451,4783,9072,1890,5045,-335,1415,226,-262,2995,4188,6254,105,1620,2745,2025,2285,2745,2025,3075,2745,635,1560,2745,2465,2536,4506,2750,3826,7911,4541,5249,9072,654,14021,32739,2415,5249,9713,4225,14021,32739,-345,-3289,2000,-1330,-345,-2379,1090,-2250,1415,3386,-411,4121,745,2685,3245,6240,827,4910,3245,6240
9/5/2023,3554,2713,-1398,50,165,-3941,2373,3088,-1785,440,56,-6449,1401,4143,919,3489,5214,8083,5658,5608,11624,1750,26,-799,4565,2632,-602,5034,791,-3571,2240,-186,-4000,-265,165,-8657,375,905,-7287,1155,-2670,-7071,1401,5110,6372,3489,5214,10570,5998,6620,13312,4075,5063,-9563,4565,5154,9106,5239,4447,-14746,-309,-4814,-1949,-4857,-260,-2961,-1308,-4267,4452,4377,5579,11795,7266,5954,-1014,-2979,3469,-150,-1014,-4462
9/6/2023,385,1490,-1643,1743,961,-2501,2551,730,963,-565,1144,696,150,-3960,-6955,-1140,-931,-5630,113,-1090,-4159,-1131,-3981,-2350,182,131,-4730,-349,-3309,-4273,385,957,2774,1355,961,-469,1273,281,3367,445,-738,1848,150,-5990,-10416,353,-2800,433,109,1900,4381,837,692,16956,-385,1755,4858,1954,-134,18164,115,5181,194,5278,-826,1435,-782,5278,-2750,-6570,-1765,-6111,-4345,-5048,-4672,-5724,102,-4085,-4672,-7349
9/7/2023,-405,-629,446,-165,-25,1191,-325,-504,446,1285,-1040,7123,2735,5822,4232,3125,9929,11328,3025,5275,8750,820,14691,2757,1965,-1323,-1043,419,16864,567,-405,-225,5090,-165,-25,7368,-80,-24,5938,-375,-140,5814,2735,5822,-464,3125,9929,8637,-738,7448,3017,1485,13905,22968,2465,7859,1253,419,14932,23826,2307,5555,2547,7828,2712,5148,544,7312,-770,-5688,13871,8651,6389,-808,-3665,-5355,-3535,-3485,-3665,-3335
9/8/2023,-182,-3479,-1360,345,-2705,-5343,437,-4344,-181,-5,-1839,-2665,-630,-2949,-5053,450,1980,-6965,-1996,-1940,-4968,-505,-4836,-1875,-145,-2270,-3155,-1770,636,-5662,115,-3350,-3933,345,-2705,-2755,652,-4334,-2615,-55,-3735,-4645,-630,86,-11169,450,2025,-17015,-2401,-1735,-18936,274,-699,-65900,-145,-3180,-18936,-475,1146,-65900,-321,2095,-2092,-2650,-701,1890,-2400,-5067,-3722,-7945,-1617,-4288,-2842,-4587,-3154,-6976,1526,-4470,-1694,-7476
9/11/2023,-420,2866,1635,-1565,4954,-1525,-1660,-410,-3413,-255,-1765,-1168,-1895,-3988,-6996,-1235,-3535,-6996,-2000,-1088,-8996,-1345,-6477,-2890,-1360,-2085,-2226,-1500,-4495,-7474,-420,3925,-1977,-1660,5387,-1378,-1660,1988,-328,-565,5311,482,-1405,-4418,-15280,-1715,-5885,-19110,-3825,-2738,-18003,-1564,-10951,-28399,-1335,-3388,-18003,-1815,-9322,-26399,-1844,-5565,2788,-5999,1243,-4933,1410,-5999,-4175,-8975,-4000,-6530,-6267,-8492,-6975,-6980,-2666,-5325,-6975,-7480
9/12/2023,708,-1087,-3873,-342,282,-2742,-200,-937,-3263,-230,292,-6376,1090,-3534,-6998,954,-637,-6199,1480,-1858,-3996,1288,5115,4779,1475,-1904,-4585,1313,2365,18415,708,-1160,-5273,845,282,-5715,945,-845,-5904,1640,-437,-7505,1090,-3627,-5855,954,-637,507,1610,-953,-649,636,4421,31924,1475,-1498,610,1638,5562,35912,-2409,1169,-1795,1166,-2810,-3328,-1877,2590,-3752,-8069,1944,2520,-226,9046,3017,14306,-594,-2736,3017,16781
9/13/2023,4104,487,9509,858,1990,8114,1512,1176,3861,1100,860,7606,3065,3031,12733,2040,4557,5803,1287,6605,15753,2920,1915,1260,4337,12307,4644,3038,1652,-347,2625,309,3233,-312,1990,4395,1495,843,5220,1250,1735,3734,3155,4582,21648,2040,4557,6439,1287,7372,17989,4227,7089,-38772,4427,7564,19607,3038,2323,-38772,3509,6899,2872,11920,3984,6499,1947,11920,254,20273,3033,5752,5246,13433,-1661,-6258,1681,1372,-1661,-7271
9/14/2023,3558,4714,1915,2060,5253,-2014,1838,5243,6036,2945,4555,-3796,1930,6718,4807,2152,6746,3500,2950,-1485,5979,-1075,-168,-2985,1654,-2105,-1840,6770,-350,-7495,3380,3691,6599,4525,5253,-2612,4570,5446,5084,3147,4126,3253,1930,6718,9852,2152,7736,4959,3578,7287,11558,8725,15457,-3374,4285,7287,12644,10429,15985,-2281,1933,-1323,2633,-5094,2869,348,8658,-2767,5346,4324,8489,2551,7698,13961,-1718,-5149,-100,-1435,-1718,-3970
9/15/2023,1045,-828,-3409,-310,-545,-3399,-1409,-157,-5089,280,-1410,-3131,1102,-154,-4951,3015,3215,-4436,4456,2937,-6924,6835,1923,-2016,2131,317,-1640,8179,-2482,-5815,1045,-1863,-3032,-310,-545,-2866,-1185,-1237,-3311,300,-1328,-4728,1162,5425,-10870,3015,3245,-3207,4515,12822,-11516,6835,11521,756,3015,12212,-10296,9359,12916,-852,-3721,-2529,-3795,23,-3721,-2529,-3365,-454,-1010,-4439,-2215,10235,-1720,10573,-2584,-3869,-811,-3635,-2584,-6413
9/18/2023,85,-413,4168,-466,68,7094,391,101,3652,295,-1240,11178,3815,974,1574,2915,-3895,1648,1296,1875,1005,7,-6335,-2643,2891,3300,2434,-809,-4388,-6297,85,-413,10554,-466,68,11427,-1450,556,9650,149,-849,11450,3815,1431,17942,2915,-5180,3870,1323,-2673,2929,3857,-14865,-47233,2891,-2673,3734,-613,-14865,-47233,2866,14304,2975,11589,4918,12307,805,11704,1414,8724,-4396,-2555,-3853,611,-6921,-5990,6894,3666,-6921,-6258
9/19/2023,365,1010,-2081,729,1572,-2217,88,277,-2186,-60,1758,1130,1955,-4445,-2577,1825,1374,3528,1249,-947,-2258,2739,3418,-905,4505,728,1574,2571,8528,-2751,365,1254,-2070,729,1572,-3179,355,396,-4187,115,654,-2842,2275,1587,-1404,2478,3562,6880,1531,5919,-6763,986,13809,-20782,4650,5729,-7798,2676,15196,-30475,75,-2506,505,-4099,1997,-4006,639,-4089,-3451,-1163,4565,-3814,3673,-8496,-4835,-5303,3850,2202,-4835,-6065
9/20/2023,2058,-1766,-4797,-80,-1286,-5923,175,-763,-2272,2245,1231,-8922,-385,-4290,-5851,930,3519,31448,373,-1865,30992,7305,13027,20171,612,4210,-4660,8650,9615,24873,2390,-1594,6071,515,-1286,-8806,455,-2130,8700,2570,604,5603,25,16177,2135,1380,3519,31216,1680,5174,28312,6574,11062,44902,807,4949,30930,9060,12477,43132,-3806,11280,18,-736,-3946,-2026,-2985,-66,-4295,-8990,1285,10925,19504,6410,12957,32864,1075,-4465,12582,31707
9/21/2023,134,1120,-2364,585,436,-5874,1101,789,-466,510,545,-4509,725,988,-1605,676,-304,-881,2969,1707,-5040,2971,5347,10278,726,775,3522,4698,4318,13997,320,2357,-5124,897,436,-327,1280,928,-3157,630,1475,-2670,725,988,512,676,-304,4681,3133,1935,-2050,2971,3491,17294,726,1017,-2553,4698,4990,19120,-2794,-1861,695,-2460,-1638,-4032,190,409,931,-4967,-3550,-691,-1153,-2036,1171,20957,-106,423,1166,19219
9/22/2023,1205,5435,3594,3282,976,4355,5966,2940,2254,1385,2127,1922,1455,3832,164,2790,1862,-2360,2141,3003,-4712,-1430,2926,-2996,2151,623,3100,1300,-3815,-3884,1205,1185,-3545,2015,976,2085,2485,3208,-1970,1276,5936,-290,1455,3540,10656,2790,1725,3765,2191,4260,4102,2198,12058,-7626,1495,1305,4189,4745,9355,-6528,1088,1805,1964,-2980,2835,2811,1489,9796,4162,10482,6591,1549,2598,-763,-4565,-1390,4423,10842,-4565,-2315
9/25/2023,1110,2359,1389,1400,710,-1088,1644,1212,1375,1320,758,-569,-50,1395,295,730,2635,-2724,4444,-1017,1723,515,3680,1010,1438,-613,8544,1985,1361,-569,1110,5076,1551,1530,710,-2791,1640,2580,1015,1395,2729,1020,-50,2411,4154,730,2658,7154,4863,2572,10926,1707,624,20632,549,2527,12355,1965,2580,23597,3928,6444,3571,2660,2166,2131,3096,3110,876,4258,5912,624,-232,1913,2202,1196,1365,6842,2202,4457
9/26/2023,-1580,-4664,-4907,-1995,-1490,-4845,-878,-4429,-4373,-575,-2208,-7950,2314,275,-4021,1400,7283,-1969,2312,8012,-3613,3008,15974,-1401,1185,1929,-4645,4733,21576,10651,-1580,-1845,-7719,-1305,-1465,-10325,475,-2055,-5420,-2255,-2900,-12395,2520,3766,-1448,3600,7283,2461,1547,10878,5142,1048,21326,33436,1285,10428,5718,4113,22737,39293,-4000,-1060,-4347,-5181,-226,-2906,-3307,-7018,235,-1136,4468,-2193,6080,6775,17419,4159,-1842,-4325,17419,2875
9/27/2023,705,5315,3927,1180,2707,6699,2263,7624,9644,760,-255,10627,2955,6108,15423,3300,7789,17002,6072,2690,20438,3065,1546,132,4629,1764,3444,1790,1789,-5909,705,4097,7201,1430,2707,7218,1345,2077,2889,890,3442,1013,2955,8164,18349,3300,6239,17002,6131,8282,19284,2915,4455,27537,4790,8146,18355,1790,6171,27596,2453,8175,2130,3372,917,7175,2761,3698,8629,14212,2488,18434,6360,15670,7283,-571,2612,-57,7283,-2928
9/28/2023,755,17,-1731,789,-2244,-3861,1218,-929,-4243,138,-1240,-6249,800,6263,-4281,2565,5510,-705,2518,937,-4564,-70,4107,-1642,1543,-1655,-857,250,-2909,-5910,755,-864,-14063,789,-2244,-11956,769,-4290,-10277,30,-7585,-11840,1875,4826,5709,2565,5510,6652,1991,5270,1227,2444,2980,-11267,2480,5195,1438,1275,4107,-4406,2122,-3383,2648,-6017,-801,-3057,1948,-3449,3838,1380,6438,-4960,6528,-2409,5009,-5985,-2230,-291,5004,-6527
9/29/2023,405,747,-2849,-205,-110,-856,161,419,-2452,95,1404,-1171,1240,2079,-6816,1981,-155,-6935,-1965,-1990,-8985,6660,-2707,-2995,4670,3738,-1992,4140,4340,-5304,405,290,-844,80,-110,-425,663,867,-1495,-25,745,-2330,1240,1710,-3465,1981,5557,-2920,-295,235,-13478,4847,3522,-21590,4670,650,-8395,5471,4248,-21487,3048,-926,5191,1778,4173,1490,4140,841,-2035,-7895,3155,-6960,-6080,-8498,-5245,-4597,-1431,180,-5305,-2981
10/2/2023,610,3377,4760,1764,3559,8422,2110,2035,8891,870,2474,8376,1102,2622,-491,1501,882,-4349,2290,434,2202,-295,-3723,577,1139,7425,1767,-305,-549,-4467,610,3746,7753,1764,3559,9566,2171,2500,9699,2893,3686,6239,1102,4420,2478,1811,2358,-76,2400,5122,1979,-1000,-1865,6016,749,5390,5288,-749,-3748,6476,2759,8914,1694,7127,2516,10747,1003,10138,4750,1694,6882,7892,5433,-2833,379,141,816,2108,379,1502
10/3/2023,1367,1675,-4425,-335,519,-3303,-88,3543,-4425,1872,970,1728,-970,-4090,-5981,-580,10,8607,-458,-1887,-2257,6419,11003,-2731,655,-1800,-3920,6915,9662,1292,1367,2265,92,622,519,3846,1607,4668,3668,-1015,-1340,2350,-715,-2142,-4188,950,1285,10974,415,3780,9000,6004,10581,78002,655,3460,9084,7447,11194,81217,5351,2892,7086,148,4800,2421,8256,2037,-4470,-2862,562,8645,5962,13129,8730,-1009,1848,-3835,8730,4906
10/4/2023,600,1007,-1381,-290,506,1495,-1259,864,-2718,630,982,368,205,2870,-1079,455,1194,5017,3551,3347,4900,1535,3083,1254,1377,970,529,1789,-1275,4702,600,1780,-4447,-840,506,-303,-910,860,-1797,-920,-1220,2838,370,5021,708,455,1194,5297,3879,6370,2006,551,2345,22111,1542,6984,2200,2064,4518,24886,428,3,2095,-1303,476,2373,1666,-1195,2220,1651,335,7650,4287,773,3241,16044,-1450,3462,2946,8760
10/5/2023,1400,-23,1063,1571,1638,2801,1762,1571,2204,155,1034,3219,72,-2678,-4619,800,-1765,-6174,302,2727,-5780,1865,-4261,-937,2322,3784,4415,-1370,-1695,-5765,1400,-355,1063,1571,1638,2902,1855,1997,2204,915,316,-931,1990,861,-3893,960,1225,-12420,-414,2502,-4823,2418,-7549,-49398,2635,6377,-6817,-2730,-8340,-49707,112,6147,1905,6316,2980,4866,685,7276,-2483,-1707,-2435,-301,170,-5267,-6011,-5313,2450,7220,-6011,-5384
10/6/2023,1795,3153,1026,2683,1084,6004,1558,3208,1032,2015,917,7504,-965,-2581,-7000,-1340,-3445,-6250,-1540,-1160,-7305,3465,4277,-2320,-1385,-2275,-4705,4612,3984,-4184,1795,3888,1232,2683,1084,6980,2875,4260,2522,2808,1786,8580,-240,-6910,-13560,-715,-2035,-4540,290,-3450,-3824,3118,4360,36460,480,-4050,-3665,4612,5014,40027,3256,2987,2121,7678,3192,2658,985,5745,-3890,-7490,-4455,-5750,-6486,-8302,7444,244,-6750,-3955,7319,-1844
10/9/2023,-1042,1309,-1826,361,2135,-5018,-1037,-4358,-5496,-690,3813,-300,3170,5863,-2200,2890,2229,412,2406,-1338,-2391,2130,16497,2533,1144,3429,-2208,3150,15785,7918,-545,2770,-41,300,2135,1489,-340,-248,-680,-1090,-453,-2630,3170,5863,616,2890,2229,2210,3304,7539,701,1054,15604,21966,2300,5293,2090,3385,16497,21966,846,-3571,4495,-2015,-1953,-5726,2623,-2015,-932,-5774,-1534,-1135,-229,-2009,12300,10241,-567,-1673,12290,5176
10/10/2023,1340,4520,2748,902,2241,-727,3205,6268,2095,1271,2595,1276,1675,1013,-99,1665,-315,2656,2605,3534,3593,310,-5407,-2958,1835,1685,7995,1275,-608,-3862,1340,3157,1911,902,2241,-228,2644,4799,1813,3516,4284,3702,1675,1503,2480,1665,-315,2988,1954,-121,4138,885,-5812,-19533,1885,1255,2385,-1030,-7902,-26343,2272,312,147,-3933,5534,-130,2162,-3462,1141,1718,1956,4980,3907,3591,-5610,-6052,1016,7925,-5610,-6102
10/11/2023,480,212,3129,1003,528,4203,776,1709,2050,1230,654,1431,265,-217,-2787,698,445,-3848,1624,-667,-3542,462,1744,2173,3941,1476,2745,-626,1939,-3343,480,631,3423,1003,528,1715,370,529,1663,-555,-216,3199,265,110,-2187,873,-320,-829,1624,-337,-8135,-671,-418,-25477,3436,-562,-8770,346,1744,-31853,221,1884,1270,8084,1197,428,1575,5876,-1625,-2740,2022,609,-543,-5017,4689,1490,3388,2202,4684,4287
10/12/2023,1005,3953,-4998,1270,4946,-3095,1177,5250,-5478,455,1465,-3042,2045,7655,1941,545,3500,-4955,3138,3879,-7357,345,-3823,-2940,1645,4320,4115,-1760,-4485,-6350,1005,5109,3137,1270,4946,6188,1715,4983,4638,1365,4569,953,2045,7845,6203,620,1930,-2795,3853,1644,-5298,-498,-12654,-39525,1645,1330,-6660,-2246,-11262,-35795,2838,1723,5605,7253,3490,2031,2344,7566,4785,5543,460,-2553,2949,-4487,-5616,-5897,4365,2903,-5616,-6903
10/13/2023,1659,-284,1380,1830,-342,164,-936,-1981,-823,-565,-394,-1981,205,495,-2842,-990,-3135,-6070,1496,-1580,-624,4606,9036,-2975,-315,-2090,-2272,2786,8477,3415,610,-358,-2384,1830,-342,-1564,1755,1102,-1055,335,-408,-514,2030,2818,6213,940,505,6680,1610,3536,12840,4747,11132,37397,900,2620,9315,6113,13150,39523,663,-6349,1507,-6688,-362,-3959,1507,-6943,1316,6598,838,-5755,10389,-2225,16675,-6345,-1169,-3920,16675,-4983
10/16/2023,-530,4406,9846,3789,1560,372,2830,5577,9973,649,540,2141,1070,7800,5373,1522,12723,11217,3315,8016,15507,1795,24569,-595,1515,3544,-4660,3230,28863,3894,-530,5791,7885,3789,1560,506,3013,6541,8685,149,3669,5749,1070,7494,10827,1522,12723,13929,4129,15346,15742,1795,33305,42854,1515,14544,15368,3252,34788,45074,-2658,3078,-3465,-2351,-2322,3078,-2700,-2296,11845,7341,6944,6964,11332,6902,11704,2762,746,-2655,11704,13785
10/17/2023,1110,3442,2366,370,-100,-4205,1816,562,271,1125,1866,6604,275,1720,2682,-1220,-1689,-3813,-1155,-1800,-5430,-235,-4185,-2990,-773,492,1284,-1229,-707,-6155,1110,1819,2985,71,-100,3746,1156,1418,4706,982,730,-160,275,2464,4749,-197,-5190,-12800,-1508,-3423,-16782,-715,-17881,-71128,-957,-3423,-19247,-3300,-20288,-76980,-672,5419,2342,7175,-736,-646,456,942,3097,5700,-2278,-5920,-1278,-7356,-6895,-6805,-1601,674,-6895,-6805
10/18/2023,2475,1824,6737,2722,1526,7202,2165,1610,9120,3235,3137,6874,1710,-203,1167,1527,-382,2104,2806,7737,12503,1787,15344,38733,1655,568,2367,2650,13800,35045,2475,3045,7025,3211,1526,6844,2461,1703,9686,3593,5178,7663,1710,-203,2227,1527,-382,1436,1185,7468,13461,1787,13212,50646,1655,6971,11194,2650,13609,50089,1929,4983,2323,8899,2209,5658,5252,8919,1045,137,443,-997,8425,8250,19395,47233,1077,-3144,19385,51051
10/19/2023,2145,6220,5363,3953,5628,4619,3067,4542,4067,1510,3369,11814,2325,3240,1329,2865,6988,13440,3965,7922,14217,3215,24057,34179,2715,3574,5300,3755,20737,47668,2145,6347,5234,4343,5628,11999,3366,7574,4529,2600,4654,3273,2325,3610,6365,2865,6988,13399,6322,10008,15809,3582,23618,54417,3015,8988,18196,3920,24487,55104,3252,3223,3874,21051,1937,5159,3503,16718,5458,2240,6259,12173,14448,11489,21344,39534,8635,4176,21329,40370
10/20/2023,2400,-2036,3686,3092,466,8536,2200,-999,5164,1830,-205,10117,-104,2109,25,1614,-1487,10288,3179,-1700,3092,5530,8075,-1640,-897,2893,-1259,6716,5334,12197,2400,-520,6461,3184,466,11878,3374,343,6719,1837,-109,7078,1050,2118,2236,2159,-1299,13179,5213,2085,7966,4863,9316,63240,369,3020,8317,6806,9598,61562,5107,5927,6446,8805,4656,7509,6311,13239,2295,-3332,2095,16016,79,5010,13438,17525,239,-891,13213,23250
10/23/2023,1940,6470,9033,3715,4700,13292,2346,6510,8511,-285,4283,17184,565,-1575,-6900,600,1725,-598,3650,-1140,-260,3358,615,-2370,1395,508,-4700,4250,3191,2393,1940,6198,15098,4284,4700,22326,4953,6238,16320,4943,10865,25298,565,-5295,-13237,820,-680,-4585,3015,-1750,-6215,2062,1517,-161,1395,-545,-5908,4476,3596,3248,8495,13510,5222,20242,8289,14641,4904,20867,-2455,-7612,975,452,-513,-5144,9258,-821,734,-5235,9253,1106
10/24/2023,1465,468,3126,1055,1126,7084,213,-190,4442,1185,2865,7173,-8,-845,-2385,312,-1602,1673,2238,8550,-278,1295,7064,-2514,700,-1178,5520,3079,4258,-1947,1465,1716,4128,1055,1126,8289,1050,1416,6695,770,1240,5294,760,-70,-470,-35,-1655,-1257,263,1015,-6406,-537,1730,-14579,575,1015,-5818,-2175,-2983,-13234,560,3221,552,10516,1655,3746,1717,10516,-4320,-1858,-387,3414,-2794,-191,11901,2309,-182,4317,11901,4081
10/25/2023,678,-3764,-4986,-115,-3330,-2636,-910,-4319,-5247,-685,-1919,-2937,-1635,-3955,-5580,4045,1599,-6986,-279,-2000,-8983,6855,8593,2753,3093,-344,-2299,7668,2882,20529,1145,-2700,-4645,-115,-3330,-1487,-162,-3030,-4902,145,-3800,-6303,-870,-2745,-14329,4045,2525,-682,753,2120,-10004,6855,11131,37607,3515,3185,-11259,7668,12889,37286,-1859,-6967,-2795,-4759,-2674,-5840,-1405,-5285,-4160,-8920,-1937,-4708,3610,-8238,15544,10103,-1852,-1737,15544,10968
10/26/2023,1262,2606,-3055,2608,2201,-2029,1322,1831,-1387,-560,2215,2528,2208,9250,20124,1533,4697,18111,3083,8052,26121,6835,1581,-2846,2928,3626,3660,7606,696,5087,1400,1426,742,2414,2201,167,624,1489,-1842,403,-4700,437,2208,9250,28389,1533,4818,18511,4056,7511,27639,7698,2225,-3274,2928,6389,23856,7606,-89,-3346,2537,263,1221,1870,1656,520,4007,4825,10614,32016,9189,21519,12129,31375,6497,-2881,6239,17329,6492,-1244
10/27/2023,-85,1257,3321,515,2150,6146,936,1127,1419,-870,1635,4272,1120,5001,-2581,510,2225,-7000,-819,-1908,-4118,-495,-5504,-2050,2370,-1326,8697,-650,-435,-5614,-85,2105,-535,515,2150,3415,1369,1157,347,55,1647,574,1120,5223,1018,510,6560,4703,476,15406,8170,6735,6761,-6654,2370,15120,7307,2775,5815,-7168,20,90,1590,2026,20,600,829,2219,-3210,-4190,125,-6958,-6492,-5271,-2198,-5629,7983,713,-2198,-6371
